plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
1000,0.0049877166748046875,418,265,149
1000,0.006981611251831055,265,149,36
1000,0.004987239837646484,265,149,36
1000,0.004986286163330078,265,149,36
1000,0.005961894989013672,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.00299072265625,265,149,36
1000,0.004987478256225586,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.00299072265625,265,149,36
1000,0.002990245819091797,265,149,36
1000,0.004180908203125,265,149,36
1000,0.0019807815551757812,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.005983591079711914,265,149,36
1000,0.005831241607666016,265,149,36
1000,0.0038771629333496094,265,149,36
1000,0.0029904842376708984,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.0042285919189453125,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.002992868423461914,265,149,36
1000,0.00299072265625,265,149,36
1000,0.002992868423461914,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.004085540771484375,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.00299072265625,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.0039904117584228516,265,149,36
1000,0.005983114242553711,265,149,36
1000,0.0039882659912109375,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.008796930313110352,265,149,36
1000,0.0049860477447509766,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.0030813217163085938,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.004987239837646484,265,149,36
1000,0.004061460494995117,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.006982564926147461,265,149,36
1000,0.005985260009765625,265,149,36
1000,0.028923511505126953,265,149,36
1000,0.016748666763305664,265,149,36
1000,0.001994609832763672,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.0049860477447509766,265,149,36
1000,0.0052678585052490234,265,149,36
1000,0.0039904117584228516,265,149,36
1000,0.009973764419555664,265,149,36
1000,0.006410837173461914,265,149,36
1000,0.014960050582885742,265,149,36
1000,0.005291461944580078,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.005534172058105469,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.0029931068420410156,265,149,36
1000,0.0029935836791992188,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.002990245819091797,265,149,36
1000,0.002992391586303711,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.0049860477447509766,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.004148244857788086,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.00299072265625,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.0039904117584228516,265,149,36
1000,0.001993417739868164,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.003397703170776367,265,149,36
1000,0.0019948482513427734,265,149,36
1000,0.0049169063568115234,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.0024347305297851562,265,149,36
1000,0.00299072265625,265,149,36
1000,0.003988027572631836,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.0039882659912109375,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.004987239837646484,265,149,36
1000,0.0029904842376708984,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0029900074005126953,265,149,36
1000,0.002990245819091797,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.001994609832763672,265,149,36
1000,0.0029904842376708984,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.001994609832763672,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.0029926300048828125,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.00299072265625,265,149,36
1000,0.004986286163330078,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.00299072265625,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.00299072265625,265,149,36
1000,0.004986286163330078,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.005983591079711914,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.0059833526611328125,265,149,36
1000,0.002992391586303711,265,149,36
1000,0.0019941329956054688,265,149,36
1000,0.0029904842376708984,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.0029904842376708984,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.001994609832763672,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.002992391586303711,265,149,36
1000,0.00299072265625,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.001994609832763672,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.04188704490661621,265,149,36
1000,0.013962507247924805,265,149,36
1000,0.0039882659912109375,265,149,36
1000,0.0029921531677246094,265,149,36
1000,0.00299072265625,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.0049877166748046875,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.002989530563354492,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.00399017333984375,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.00399017333984375,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.003987789154052734,265,149,36
1000,0.03390860557556152,265,149,36
1000,0.09574317932128906,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.0029931068420410156,265,149,36
1000,0.001993417739868164,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.0059833526611328125,265,149,36
1000,0.00498509407043457,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.00299072265625,265,149,36
1000,0.04787158966064453,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.0029926300048828125,265,149,36
1000,0.001993417739868164,265,149,36
1000,0.001993417739868164,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.004987239837646484,265,149,36
1000,0.005983114242553711,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0029900074005126953,265,149,36
1000,0.001992940902709961,265,149,36
1000,0.00399017333984375,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.003987789154052734,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.0049860477447509766,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.006981372833251953,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.005984067916870117,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.003988027572631836,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.005983591079711914,265,149,36
1000,0.0059833526611328125,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.005983114242553711,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.0029931068420410156,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.005983829498291016,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.001994609832763672,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.0049855709075927734,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.0039882659912109375,265,149,36
1000,0.00598454475402832,265,149,36
1000,0.004987478256225586,265,149,36
1000,0.0059833526611328125,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.0039904117584228516,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.002992868423461914,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.00399017333984375,265,149,36
1000,0.00299072265625,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.0049877166748046875,265,149,36
1000,0.001995086669921875,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.00299072265625,265,149,36
1000,0.004986286163330078,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.0019941329956054688,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.01795172691345215,265,149,36
1000,0.001993417739868164,265,149,36
1000,0.0029935836791992188,265,149,36
1000,0.005983829498291016,265,149,36
1000,0.005983114242553711,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.004987478256225586,265,149,36
1000,0.007977485656738281,265,149,36
1000,0.004986286163330078,265,149,36
1000,0.004987239837646484,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.0029904842376708984,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.0029904842376708984,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.0029921531677246094,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.004986286163330078,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.004987478256225586,265,149,36
1000,0.00299072265625,265,149,36
1000,0.0029926300048828125,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0019941329956054688,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.0039882659912109375,265,149,36
1000,0.0019941329956054688,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.0019948482513427734,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.008975744247436523,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.00598454475402832,265,149,36
1000,0.007977008819580078,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.0069811344146728516,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.0039882659912109375,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.0039882659912109375,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.005982875823974609,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.005984067916870117,265,149,36
1000,0.005983591079711914,265,149,36
1000,0.004987239837646484,265,149,36
1000,0.007978200912475586,265,149,36
1000,0.006981372833251953,265,149,36
1000,0.003987789154052734,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.006979942321777344,265,149,36
1000,0.04986834526062012,265,149,36
1000,0.005984067916870117,265,149,36
1000,0.004986763000488281,265,149,36
1000,0.004986286163330078,265,149,36
1000,0.00698089599609375,265,149,36
1000,0.007978200912475586,265,149,36
1000,0.0029926300048828125,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.005983591079711914,265,149,36
1000,0.005982398986816406,265,149,36
1000,0.0069806575775146484,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.0069806575775146484,265,149,36
1000,0.00399017333984375,265,149,36
1000,0.00498652458190918,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.0049860477447509766,265,149,36
1000,0.006981611251831055,265,149,36
1000,0.0069806575775146484,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.00299072265625,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.0029921531677246094,265,149,36
1000,0.002992391586303711,265,149,36
1000,0.004986286163330078,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.008975028991699219,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.0049855709075927734,265,149,36
1000,0.006981849670410156,265,149,36
1000,0.003988027572631836,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.00299072265625,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.005984306335449219,265,149,36
1000,0.004985809326171875,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.004985809326171875,265,149,36
1000,0.004985332489013672,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.001994609832763672,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.0029921531677246094,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.003989696502685547,265,149,36
1000,0.001994609832763672,265,149,36
1000,0.00299072265625,265,149,36
1000,0.003988027572631836,265,149,36
1000,0.0039899349212646484,265,149,36
1000,0.002991914749145508,265,149,36
1000,0.004987001419067383,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.003988504409790039,265,149,36
1000,0.004985809326171875,265,149,36
1000,0.003987550735473633,265,149,36
1000,0.0029926300048828125,265,149,36
1000,0.0029916763305664062,265,149,36
1000,0.0029914379119873047,265,149,36
1000,0.002992868423461914,265,149,36
1000,0.0029904842376708984,265,149,36
1000,0.003988742828369141,265,149,36
1000,0.00299072265625,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.0019941329956054688,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.0019936561584472656,265,149,36
1000,0.0029909610748291016,265,149,36
1000,0.003989458084106445,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.003988981246948242,265,149,36
1000,0.001993894577026367,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.003989219665527344,265,149,36
1000,0.0019943714141845703,265,149,36
1000,0.002991199493408203,265,149,36
1000,0.003989458084106445,265,149,36
