plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
30000,0.03989362716674805,2531,1190,188
30000,0.032912254333496094,12298,4766,2531
30000,0.037899017333984375,21488,12298,8096
30000,0.0498661994934082,27692,21488,16910
30000,0.0359041690826416,12298,490,19
30000,0.03690075874328613,4766,490,188
30000,0.04388260841369629,2531,1190,490
30000,0.04089069366455078,16910,8096,490
30000,0.04587674140930176,29072,8096,4766
30000,0.04587745666503906,12298,19,14
30000,0.04601144790649414,27692,12298,4766
30000,0.043465375900268555,2531,1190,64
30000,0.041892290115356445,16910,490,188
30000,0.03191423416137695,8096,4766,2531
30000,0.034906625747680664,12298,4766,2531
30000,0.03191399574279785,16910,4766,1190
30000,0.03490638732910156,16910,12298,8096
30000,0.03789854049682617,2531,490,188
30000,0.029918670654296875,16910,4766,1190
30000,0.03390908241271973,16910,1190,490
30000,0.034906625747680664,16910,4766,188
30000,0.0797874927520752,25150,16910,12298
30000,0.032911062240600586,12298,4766,2531
30000,0.033910274505615234,16910,12298,8096
30000,0.03789925575256348,188,64,19
30000,0.028922319412231445,8096,2531,490
30000,0.031914472579956055,21488,12298,1190
30000,0.0359034538269043,12298,4766,1190
30000,0.03690171241760254,4766,1190,490
30000,0.032885074615478516,12298,2531,490
30000,0.039895057678222656,21488,490,188
30000,0.03989362716674805,29072,16910,4766
30000,0.03691387176513672,1190,188,64
30000,0.03390908241271973,8096,2531,188
30000,0.033135414123535156,16910,12298,4766
30000,0.03789877891540527,25150,16910,4766
30000,0.03514742851257324,12298,4766,64
30000,0.03588461875915527,12298,4766,2531
30000,0.035971641540527344,12298,490,64
30000,0.0366060733795166,16910,2531,490
30000,0.035976409912109375,25150,12298,1190
30000,0.033824920654296875,12298,8096,4766
30000,0.03524923324584961,4766,2531,1190
30000,0.03426408767700195,16910,4766,2531
30000,0.03963971138000488,25150,8096,490
30000,0.041081905364990234,21488,16910,12298
30000,0.033133745193481445,12298,4766,490
30000,0.03340888023376465,16910,12298,4766
30000,0.048389434814453125,4766,490,188
30000,0.033003807067871094,4766,1190,188
30000,0.029918670654296875,12298,2531,1190
30000,0.03247213363647461,8096,188,64
30000,0.03490734100341797,12298,8096,4766
30000,0.03508472442626953,2531,1190,188
30000,0.038999080657958984,490,5,471
30000,0.045150041580200195,29072,25150,21488
30000,0.03383922576904297,21488,4766,2531
30000,0.03388833999633789,4766,1190,188
30000,0.03232574462890625,8096,490,64
30000,0.03109002113342285,12298,2531,188
30000,0.03989434242248535,29072,4766,1190
30000,0.03206896781921387,12298,8096,1190
30000,0.036322593688964844,21488,2531,64
30000,0.03289222717285156,21488,12298,4766
30000,0.030437707901000977,12298,8096,4766
30000,0.032975196838378906,12298,8096,2531
30000,0.03290438652038574,8096,490,188
30000,0.03167915344238281,16910,8096,4766
30000,0.04322552680969238,29743,4766,188
30000,0.03306078910827637,4766,2531,1190
30000,0.03309464454650879,12298,4766,2531
30000,0.032141923904418945,12298,8096,4766
30000,0.034310340881347656,12298,8096,4766
30000,0.03590536117553711,21488,2531,188
30000,0.0359039306640625,21488,16910,2531
30000,0.034279584884643555,2531,490,19
30000,0.03341102600097656,21488,2531,490
30000,0.030916929244995117,8096,490,188
30000,0.03091740608215332,4766,1190,490
30000,0.03091573715209961,8096,1190,490
30000,0.03191518783569336,21488,2531,1190
30000,0.029920101165771484,16910,4766,490
30000,0.0359039306640625,21488,16910,1190
30000,0.03191781044006348,8096,2531,1190
30000,0.039893388748168945,16910,2531,490
30000,0.044879913330078125,8096,4766,2531
30000,0.03889727592468262,8096,490,188
30000,0.046874284744262695,27692,1190,188
30000,0.045877933502197266,4766,2531,1190
30000,0.03789997100830078,12298,4766,490
30000,0.03390860557556152,25150,4766,1190
30000,0.042885780334472656,16910,1190,19
30000,0.05186128616333008,27692,16910,1190
30000,0.03690290451049805,21488,2531,490
30000,0.032911062240600586,12298,8096,2531
30000,0.03989243507385254,8096,188,64
30000,0.03091740608215332,8096,2531,1190
30000,0.03089761734008789,12298,4766,1190
30000,0.03588438034057617,2531,490,188
30000,0.040889739990234375,4766,1190,64
30000,0.054833412170410156,27692,21488,16910
30000,0.032912492752075195,4766,490,64
30000,0.031914710998535156,21488,12298,1190
30000,0.0359041690826416,4766,490,188
30000,0.0329129695892334,16910,2531,1190
30000,0.03690075874328613,2531,490,188
30000,0.026927947998046875,16910,8096,2531
30000,0.04089093208312988,25150,21488,4766
30000,0.04086899757385254,4766,2531,1190
30000,0.03488421440124512,8096,64,19
30000,0.030918121337890625,12298,4766,490
30000,0.03789925575256348,16910,490,19
30000,0.037897348403930664,12298,64,5
30000,0.03989362716674805,4766,2531,1190
30000,0.030915260314941406,8096,4766,1190
30000,0.03488636016845703,21488,16910,8096
30000,0.030917644500732422,8096,4766,1190
30000,0.032892704010009766,8096,4766,2531
30000,0.0368807315826416,2531,188,64
30000,0.04487872123718262,490,64,19
30000,0.03340339660644531,12298,8096,4766
30000,0.038896799087524414,2531,490,64
30000,0.0468745231628418,27692,2531,188
30000,0.04986572265625,64,19,5
30000,0.039895057678222656,8096,2531,188
30000,0.03986692428588867,27692,2531,19
30000,0.034885406494140625,21488,4766,1190
30000,0.06582260131835938,12298,2531,1190
30000,0.03191351890563965,4766,2531,1190
30000,0.0359041690826416,25150,1190,64
30000,0.031925201416015625,16910,4766,2531
30000,0.032915592193603516,12298,8096,2531
30000,0.0329132080078125,8096,2531,188
30000,0.035904884338378906,8096,1190,64
30000,0.041887760162353516,2531,490,188
30000,0.03291201591491699,12298,8096,4766
30000,0.04089093208312988,27692,2531,188
30000,0.03690195083618164,16910,2531,1190
30000,0.09574341773986816,8096,1190,490
30000,0.03390955924987793,4766,2531,490
30000,0.044878482818603516,21488,8096,2531
30000,0.03690052032470703,25150,4766,490
30000,0.04787182807922363,16910,8096,64
30000,0.07579755783081055,4766,490,188
30000,0.05485415458679199,188,19,5
30000,0.0359039306640625,16910,12298,8096
30000,0.040891170501708984,12298,4766,2531
30000,0.0329134464263916,4766,490,188
30000,0.04216289520263672,2531,1190,490
30000,0.03399205207824707,27692,16910,8096
30000,0.03629589080810547,29072,8096,1190
30000,0.038063764572143555,21488,8096,4766
30000,0.042885780334472656,12298,8096,2531
30000,0.050653934478759766,8096,4766,490
30000,0.03514266014099121,16910,64,19
30000,0.03653979301452637,12298,2531,490
30000,0.034906625747680664,25150,2531,1190
30000,0.03490638732910156,27692,4766,2531
30000,0.07716155052185059,8096,4766,2531
30000,0.0372929573059082,27692,8096,2531
30000,0.052220821380615234,2531,1190,490
30000,0.039138078689575195,21488,12298,8096
30000,0.0468745231628418,8096,4766,490
30000,0.037085771560668945,8096,4766,2531
30000,0.05258321762084961,27692,8096,4766
30000,0.034276723861694336,8096,1190,188
30000,0.04595375061035156,21488,12298,8096
30000,0.03614330291748047,21488,4766,2531
30000,0.04517769813537598,490,188,19
30000,0.04008793830871582,12298,188,64
30000,0.04138541221618652,16910,8096,4766
30000,0.035748958587646484,8096,4766,1190
30000,0.04351305961608887,4766,2531,1190
30000,0.029741287231445312,12298,2531,188
30000,0.030803680419921875,4766,1190,490
30000,0.03490757942199707,16910,490,188
30000,0.029920578002929688,12298,8096,4766
30000,0.039038896560668945,27692,16910,8096
30000,0.04772496223449707,4766,1190,490
30000,0.12888336181640625,2531,1190,490
30000,0.05228686332702637,1190,490,64
30000,0.03995943069458008,16910,19,5
30000,0.0359036922454834,4766,2531,64
30000,0.029920101165771484,12298,8096,1190
30000,0.030917882919311523,4766,490,19
30000,0.029920101165771484,4766,2531,188
30000,0.03390979766845703,8096,2531,1190
30000,0.02892327308654785,16910,2531,1190
30000,0.04587674140930176,490,188,64
30000,0.03390860557556152,16910,2531,1190
30000,0.0329132080078125,12298,4766,2531
30000,0.030916213989257812,12298,8096,2531
30000,0.033910274505615234,25150,8096,2531
30000,0.03490805625915527,8096,188,5
30000,0.0359044075012207,25150,4766,188
30000,0.031916141510009766,8096,64,19
30000,0.028922319412231445,8096,2531,490
30000,0.027925491333007812,8096,4766,1190
30000,0.034906625747680664,4766,2531,490
30000,0.03191494941711426,4766,2531,1190
30000,0.036900997161865234,4766,1190,490
30000,0.06782031059265137,4766,2531,1190
30000,0.0359041690826416,490,64,5
30000,0.044881343841552734,1190,490,64
30000,0.037899017333984375,4766,2531,64
30000,0.04388308525085449,16910,8096,4766
30000,0.04986834526062012,4766,2531,490
30000,0.055850982666015625,8096,19,5
30000,0.05186319351196289,12298,4766,2531
30000,0.0359034538269043,16910,8096,4766
30000,0.03989386558532715,12298,2531,1190
30000,0.04787254333496094,4766,490,188
30000,0.03889656066894531,2531,1190,490
30000,0.03390979766845703,12298,8096,2531
30000,0.031914472579956055,16910,12298,8096
30000,0.034906625747680664,16910,12298,1190
30000,0.028923749923706055,8096,2531,1190
30000,0.03490757942199707,16910,12298,8096
30000,0.04986739158630371,16910,188,19
30000,0.06981158256530762,1190,188,19
30000,0.15758085250854492,4766,490,188
30000,0.05884242057800293,8096,2531,1190
30000,0.044879913330078125,16910,12298,4766
30000,0.04288506507873535,8096,4766,2531
30000,0.03690147399902344,8096,2531,1190
30000,0.03391003608703613,4766,2531,188
30000,0.03690028190612793,2531,1190,490
