plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
30000,0.41088271141052246,12298,4766,1190
30000,0.4104611873626709,12298,4766,1190
30000,0.406818151473999,12298,4766,1190
30000,0.41088271141052246,12298,4766,1190
30000,0.4104611873626709,12298,4766,1190
30000,0.406818151473999,12298,4766,1190
30000,0.3500640392303467,12298,4766,1190
30000,0.3430802822113037,12298,4766,1190
30000,0.3964200019836426,12298,4766,1190
30000,0.34713006019592285,12298,4766,1190
30000,0.40727734565734863,12298,4766,1190
30000,0.4276883602142334,12298,4766,1190
30000,0.3919546604156494,12298,4766,1190
30000,0.3943963050842285,12298,4766,1190
30000,0.3848602771759033,12298,4766,1190
30000,0.3730018138885498,12298,4766,1190
30000,0.45113635063171387,12298,4766,1190
30000,0.35308265686035156,12298,4766,1190
30000,0.4398014545440674,12298,4766,1190
30000,0.45079493522644043,12298,4766,1190
30000,0.4483358860015869,12298,4766,1190
30000,0.38207578659057617,12298,4766,1190
30000,0.3859407901763916,12298,4766,1190
30000,0.4278562068939209,12298,4766,1190
30000,0.3805718421936035,12298,4766,1190
30000,0.3759958744049072,12298,4766,1190
30000,0.3570668697357178,12298,4766,1190
30000,0.3650238513946533,12298,4766,1190
30000,0.3939402103424072,12298,4766,1190
30000,0.3642606735229492,12298,4766,1190
30000,0.34706664085388184,12298,4766,1190
30000,0.3769958019256592,12298,4766,1190
30000,0.39983201026916504,12298,4766,1190
30000,0.3829765319824219,12298,4766,1190
30000,0.3690338134765625,12298,4766,1190
30000,0.42188501358032227,12298,4766,1190
30000,0.3853800296783447,12298,4766,1190
30000,0.547513484954834,12298,4766,1190
30000,0.41223597526550293,12298,4766,1190
30000,0.3692789077758789,12298,4766,1190
30000,0.3969392776489258,12298,4766,1190
30000,0.3580622673034668,12298,4766,1190
30000,0.3460543155670166,12298,4766,1190
30000,0.3729686737060547,12298,4766,1190
30000,0.39792943000793457,12298,4766,1190
30000,0.448772668838501,12298,4766,1190
30000,0.3889782428741455,12298,4766,1190
30000,0.3639042377471924,12298,4766,1190
30000,0.3560497760772705,12298,4766,1190
30000,0.34308338165283203,12298,4766,1190
30000,0.34210658073425293,12298,4766,1190
30000,0.34607553482055664,12298,4766,1190
30000,0.37799072265625,12298,4766,1190
30000,0.36302852630615234,12298,4766,1190
30000,0.42687010765075684,12298,4766,1190
30000,0.38799071311950684,12298,4766,1190
30000,0.36699914932250977,12298,4766,1190
30000,0.3789665699005127,12298,4766,1190
30000,0.4029254913330078,12298,4766,1190
