plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
50000,0.06280398368835449,28350,20449,13391
50000,0.0707089900970459,41959,2076,122
50000,0.06509017944335938,13391,2076,36
50000,0.05783796310424805,35890,13391,4181
50000,0.07639408111572266,897,339,122
50000,0.0567021369934082,35890,28350,13391
50000,0.0646357536315918,41959,28350,20449
50000,0.06244659423828125,4181,339,36
50000,0.05086398124694824,20449,7957,4181
50000,0.10367608070373535,41959,28350,2076
50000,0.0592801570892334,28350,339,122
50000,0.05884194374084473,7957,4181,897
50000,0.06981325149536133,46155,4181,122
50000,0.12865543365478516,897,893,8
50000,0.06981396675109863,2076,897,339
50000,0.048386573791503906,20449,2076,897
50000,0.04884910583496094,13391,4181,897
50000,0.052838802337646484,7957,4181,2076
50000,0.04984545707702637,28350,7957,2076
50000,0.055850982666015625,28350,20449,13391
50000,0.05982017517089844,20449,12,4
50000,0.07078886032104492,2076,339,122
50000,0.06680035591125488,36,12,4
50000,0.054852962493896484,20449,13391,7957
50000,0.0608372688293457,4181,2076,897
50000,0.06175875663757324,35890,2076,36
50000,0.06881546974182129,4181,2076,897
50000,0.08676981925964355,46155,35890,28350
50000,0.06382966041564941,28350,20449,7957
50000,0.15558362007141113,339,12,4
50000,0.07380294799804688,41959,35890,28350
50000,0.06283164024353027,49886,20449,13391
50000,0.0578458309173584,4181,897,339
50000,0.049866437911987305,28350,4181,122
50000,0.05161428451538086,28350,20449,7957
50000,0.054865360260009766,13391,7957,2076
50000,0.0851280689239502,48475,7957,897
50000,0.08457231521606445,897,339,12
50000,0.08752799034118652,35890,897,339
50000,0.05585169792175293,28350,4181,897
50000,0.06627607345581055,28350,2076,897
50000,0.06382870674133301,2076,122,36
50000,0.05024838447570801,35890,20449,4181
50000,0.05346345901489258,4181,339,122
50000,0.046973228454589844,28350,13391,4181
50000,0.04811692237854004,28350,13391,7957
50000,0.11728286743164062,41959,28350,20449
50000,0.07198762893676758,46155,41959,7957
50000,0.06889796257019043,4181,2076,897
50000,0.05221438407897949,35890,13391,2076
50000,0.055814504623413086,13391,2076,339
50000,0.06090593338012695,35890,7957,897
50000,0.05301213264465332,7957,897,122
50000,0.05518841743469238,28350,2076,897
50000,0.06989002227783203,46155,20449,122
50000,0.06995916366577148,48475,7957,4181
50000,0.05716562271118164,13391,7957,2076
50000,0.06569600105285645,41959,4181,2076
50000,0.05292677879333496,13391,7957,4181
50000,0.056444406509399414,28350,20449,7957
50000,0.060671091079711914,35890,7957,122
50000,0.07181167602539062,339,122,36
50000,0.06161999702453613,7957,4181,2076
50000,0.05086398124694824,28350,13391,2076
50000,0.04887032508850098,13391,2076,339
50000,0.09075713157653809,20449,4181,2076
50000,0.061835289001464844,46155,13391,4181
50000,0.04834938049316406,20449,7957,4181
50000,0.048870086669921875,35890,13391,7957
50000,0.04886937141418457,28350,20449,7957
50000,0.08776569366455078,41959,2076,897
50000,0.053858041763305664,4181,2076,897
50000,0.04886913299560547,13391,897,339
50000,0.07878971099853516,897,4,885
50000,0.04986691474914551,35890,13391,4181
50000,0.06682300567626953,13391,7957,2076
50000,0.05585217475891113,41959,13391,339
50000,0.05884146690368652,4181,897,339
50000,0.05164217948913574,20449,13391,4181
50000,0.07978677749633789,4181,339,36
50000,0.12865591049194336,2076,897,339
50000,0.05086493492126465,35890,13391,7957
50000,0.0827794075012207,2076,2076,339
50000,0.05485248565673828,35890,7957,4181
50000,0.04886889457702637,20449,7957,2076
50000,0.05984234809875488,13391,897,122
50000,0.05983901023864746,28350,4181,2076
50000,0.04488062858581543,20449,13391,4181
50000,0.06007027626037598,7957,2076,36
50000,0.060575008392333984,13391,7957,897
50000,0.05884194374084473,28350,4181,897
50000,0.06122779846191406,7957,4181,897
50000,0.05983924865722656,13391,7957,4181
50000,0.07323217391967773,46155,35890,4181
50000,0.09873604774475098,28350,20449,13391
50000,0.05884146690368652,41959,7957,2076
50000,0.06183457374572754,4181,2076,897
50000,0.05485343933105469,13391,4181,122
50000,0.04986715316772461,13391,7957,4181
50000,0.057825565338134766,35890,20449,897
50000,0.06081652641296387,28350,339,122
50000,0.06081652641296387,4181,2076,122
50000,0.060837745666503906,13391,897,339
50000,0.055850982666015625,7957,897,339
50000,0.052838802337646484,20449,7957,4181
50000,0.06681966781616211,897,122,36
50000,0.05138826370239258,28350,7957,897
50000,0.05403017997741699,28350,2076,897
50000,0.05015683174133301,13391,4181,2076
50000,0.05836915969848633,35890,28350,7957
50000,0.10062026977539062,28350,7957,4181
50000,0.04926609992980957,13391,897,339
50000,0.04825425148010254,28350,7957,897
50000,0.04912590980529785,28350,7957,2076
50000,0.05404090881347656,7957,897,339
50000,0.06109023094177246,28350,7957,4181
50000,0.06748008728027344,35890,28350,897
50000,0.06114339828491211,4181,36,12
50000,0.06418013572692871,46155,35890,20449
50000,0.05195021629333496,13391,4181,897
50000,0.06822490692138672,897,339,122
50000,0.061183929443359375,36,12,8
50000,0.05479741096496582,28350,13391,7957
50000,0.06718659400939941,2076,897,122
50000,0.0787961483001709,48475,46155,7957
50000,0.05650067329406738,35890,28350,20449
50000,0.05128335952758789,35890,20449,7957
50000,0.0521998405456543,7957,4181,2076
50000,0.051199913024902344,35890,20449,4181
50000,0.051041603088378906,20449,13391,4181
50000,0.15058541297912598,41959,35890,122
50000,0.04886889457702637,20449,7957,2076
50000,0.054853200912475586,20449,13391,4181
50000,0.06283116340637207,13391,7957,2076
50000,0.051860809326171875,20449,7957,2076
50000,0.06283307075500488,41959,4181,2076
50000,0.061835289001464844,4181,339,122
50000,0.057843685150146484,13391,7957,4181
50000,0.06482601165771484,41959,35890,7957
50000,0.04787325859069824,13391,7957,2076
50000,0.0608367919921875,35890,20449,36
50000,0.057846784591674805,7957,4181,36
50000,0.047872304916381836,13391,4181,2076
50000,0.06382894515991211,46155,7957,2076
50000,0.05086326599121094,20449,13391,4181
50000,0.11668848991394043,4181,339,36
50000,0.056847333908081055,13391,7957,2076
50000,0.05285978317260742,28350,7957,4181
50000,0.05884289741516113,4181,2076,339
50000,0.06383037567138672,13391,7957,4181
50000,0.056848764419555664,28350,7957,897
50000,0.06183505058288574,7957,2076,122
50000,0.06370115280151367,2076,897,339
50000,0.054853200912475586,28350,20449,13391
50000,0.06380867958068848,46155,28350,13391
50000,0.056827545166015625,35890,28350,13391
50000,0.05682802200317383,20449,13391,4181
50000,0.05483198165893555,35890,13391,7957
50000,0.056827545166015625,28350,20449,897
50000,0.059819936752319336,4181,2076,339
50000,0.05285787582397461,28350,20449,7957
50000,0.055830955505371094,7957,4181,36
50000,0.08178067207336426,2076,897,339
50000,0.10668778419494629,35890,4181,2076
50000,0.06781888008117676,46155,2076,897
50000,0.08178138732910156,46155,35890,7957
50000,0.06083798408508301,13391,7957,4181
50000,0.06083846092224121,4181,2076,897
50000,0.11668872833251953,35890,28350,122
50000,0.05086398124694824,28350,7957,897
50000,0.05585122108459473,35890,28350,13391
50000,0.055850982666015625,20449,897,122
50000,0.07081055641174316,28350,897,122
50000,0.07679486274719238,20449,4181,36
50000,0.07280468940734863,2076,339,36
50000,0.09175443649291992,48475,20449,7957
50000,0.05884385108947754,7957,4181,2076
50000,0.10977411270141602,41959,28350,7957
50000,0.06511688232421875,41959,35890,7957
50000,0.04894685745239258,28350,13391,7957
50000,0.04497098922729492,20449,4181,2076
50000,0.06590890884399414,2076,897,339
50000,0.06549882888793945,4181,2076,339
50000,0.045958757400512695,28350,13391,4181
50000,0.049942970275878906,35890,13391,7957
50000,0.04806709289550781,13391,7957,897
50000,0.0631721019744873,35890,897,339
50000,0.0612788200378418,41959,28350,13391
50000,0.05198502540588379,20449,13391,7957
50000,0.056165218353271484,28350,2076,897
50000,0.056848764419555664,13391,2076,339
50000,0.06652045249938965,46155,35890,13391
50000,0.10763669013977051,7957,4181,2076
50000,0.06375837326049805,35890,339,36
50000,0.05670475959777832,7957,4181,2076
50000,0.06247353553771973,28350,13391,897
50000,0.05241513252258301,35890,7957,2076
50000,0.06142401695251465,41959,7957,4181
50000,0.04998612403869629,28350,7957,4181
50000,0.05693387985229492,20449,13391,2076
50000,0.052045345306396484,28350,13391,7957
50000,0.057976484298706055,7957,2076,897
50000,0.061913251876831055,41959,28350,20449
50000,0.05385732650756836,20449,2076,897
50000,0.05186271667480469,28350,20449,7957
50000,0.07779240608215332,339,12,4
50000,0.05784487724304199,35890,7957,4181
50000,0.1186821460723877,48475,20449,4181
50000,0.04787278175354004,35890,13391,4181
50000,0.05585217475891113,41959,13391,2076
50000,0.06382894515991211,35890,4181,2076
50000,0.06779861450195312,41959,20449,2076
50000,0.06878781318664551,28350,20449,13391
50000,0.0608372688293457,41959,7957,4181
50000,0.11170244216918945,28350,7957,4181
50000,0.0498661994934082,13391,2076,897
50000,0.04587745666503906,20449,7957,4181
50000,0.057843923568725586,20449,4181,339
50000,0.06881594657897949,41959,2076,339
50000,0.055849552154541016,13391,12,4
50000,0.053856611251831055,35890,7957,4181
50000,0.06301736831665039,7957,2076,897
50000,0.08676838874816895,28350,2076,897
50000,0.05984020233154297,28350,897,122
50000,0.05086326599121094,20449,4181,2076
50000,0.06235003471374512,41959,7957,4181
50000,0.058167219161987305,7957,4181,2076
50000,0.07694649696350098,41959,7957,4181
50000,0.07876396179199219,2076,339,36
50000,0.05795598030090332,28350,20449,7957
50000,0.05208754539489746,28350,13391,7957
50000,0.07647132873535156,46155,4181,2076
50000,0.0665438175201416,41959,4181,2076
50000,0.05724477767944336,20449,2076,339
50000,0.07278633117675781,4181,339,122
50000,0.07560539245605469,46155,4181,897
