plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
20000,0.014942646026611328,13081,2386,856
20000,0.014960765838623047,13081,2386,856
20000,0.014922380447387695,13081,2386,856
20000,0.012978315353393555,6919,2386,856
20000,0.020671367645263672,17614,13081,856
20000,0.01794123649597168,17614,4533,856
20000,0.013947486877441406,6919,2386,1530
20000,0.014705657958984375,6919,4533,856
20000,0.014545917510986328,13081,2386,856
20000,0.013963699340820312,6919,2386,856
20000,0.014961004257202148,6919,4533,856
20000,0.014963150024414062,6919,2386,856
20000,0.041892290115356445,6919,2386,856
20000,0.014962434768676758,6919,2386,856
20000,0.013964176177978516,6919,2386,856
20000,0.0648353099822998,6919,2386,856
20000,0.016957521438598633,17614,4533,856
20000,0.011970758438110352,6919,2386,856
20000,0.010972738265991211,6919,4533,856
20000,0.012966156005859375,6919,4533,856
20000,0.011968851089477539,6919,2386,1530
20000,0.012968301773071289,13081,2386,856
20000,0.0109710693359375,6919,2386,856
20000,0.00997471809387207,6919,2386,856
20000,0.010972738265991211,6919,4533,856
20000,0.014962196350097656,17614,4533,856
20000,0.010970830917358398,6919,2386,2074
20000,0.013965129852294922,6919,6063,4533
20000,0.011968374252319336,13081,2386,856
20000,0.011970043182373047,6919,4533,856
20000,0.009973764419555664,6919,2386,1530
20000,0.01097249984741211,6919,2386,1530
20000,0.011969566345214844,6919,4533,856
20000,0.011968374252319336,6919,6607,2074
20000,0.016958236694335938,19688,6607,2074
20000,0.016957998275756836,6919,4533,856
20000,0.017955780029296875,6919,6063,4533
20000,0.013965129852294922,6919,2386,856
20000,0.013964414596557617,6919,4533,856
20000,0.01695728302001953,13081,2386,856
20000,0.015958786010742188,6919,2386,2074
20000,0.017954111099243164,6919,2386,856
20000,0.017955541610717773,6919,6063,4533
20000,0.01795482635498047,13081,2386,856
20000,0.016956090927124023,13081,2386,856
20000,0.015960693359375,6919,2386,856
20000,0.01595902442932129,13081,2386,2267
20000,0.014961481094360352,6919,2386,856
20000,0.029924631118774414,13081,2386,1530
20000,0.04189300537109375,6919,6063,4533
20000,0.011970758438110352,6919,2386,856
20000,0.014961719512939453,13081,2386,856
20000,0.01496267318725586,6919,2386,1530
20000,0.011968612670898438,6919,2386,856
20000,0.013965368270874023,13081,2386,856
20000,0.012967109680175781,6919,2386,856
20000,0.012967348098754883,6919,2386,1530
20000,0.011969327926635742,6919,4533,856
20000,0.01196908950805664,6919,4533,856
20000,0.05785179138183594,17614,4533,856
20000,0.011969566345214844,6919,2386,1530
20000,0.011970758438110352,6919,2386,856
20000,0.015959739685058594,17614,4533,856
20000,0.013964176177978516,13081,2386,856
20000,0.012968063354492188,6919,2386,1530
20000,0.011969566345214844,6919,4533,856
20000,0.01296687126159668,13081,2386,1530
20000,0.011970996856689453,6919,2386,1530
20000,0.012968063354492188,6919,4533,856
20000,0.013963937759399414,13081,2386,1530
20000,0.012970685958862305,6919,4533,856
20000,0.01296687126159668,13081,2386,856
20000,0.012967586517333984,13081,2386,856
20000,0.010970830917358398,6919,2386,856
20000,0.013963937759399414,6919,2386,2074
20000,0.01595783233642578,6919,2386,1530
20000,0.013964176177978516,6919,2386,1530
20000,0.013964653015136719,6919,6063,1530
20000,0.010972976684570312,6919,2386,856
20000,0.011969327926635742,6919,2386,1530
20000,0.012967824935913086,13081,2386,856
20000,0.01197052001953125,6919,4533,856
20000,0.017955541610717773,17614,13081,856
20000,0.011970996856689453,6919,2386,1530
20000,0.013965129852294922,13081,2386,856
20000,0.016934633255004883,19961,6880,2347
20000,0.012967109680175781,13081,2386,856
