plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
30000,0.2573127746582031,10548,3700,1253
30000,0.22041082382202148,10548,3700,1253
30000,0.20846152305603027,10548,3700,1253
30000,0.25733327865600586,10548,3700,1253
30000,0.2144176959991455,10548,3700,1253
30000,0.21343016624450684,10548,3700,1253
30000,0.2453153133392334,10548,3700,1253
30000,0.26130080223083496,10548,3700,1253
30000,0.2792539596557617,10548,3700,1253
30000,0.2094411849975586,10548,3700,1253
30000,0.21146249771118164,10548,3700,1253
30000,0.22639226913452148,10548,3700,1253
30000,0.21541762351989746,10548,3700,1253
30000,0.20844411849975586,10548,3700,1253
30000,0.21141505241394043,10548,3700,1253
30000,0.2094423770904541,10548,3700,1253
30000,0.21443414688110352,10548,3700,1253
30000,0.2104649543762207,10548,3700,1253
30000,0.2024247646331787,10548,3700,1253
30000,0.20946049690246582,10548,3700,1253
30000,0.2333509922027588,10548,3700,1253
30000,0.2184162139892578,10548,3700,1253
30000,0.24933958053588867,10548,3700,1253
30000,0.22043418884277344,10548,3700,1253
30000,0.21639442443847656,10548,3700,1253
30000,0.25033140182495117,10548,3700,1253
30000,0.20447587966918945,10548,3700,1253
30000,0.22141647338867188,10548,3700,1253
30000,0.20843982696533203,10548,3700,1253
30000,0.29122447967529297,10548,3700,1253
30000,0.21045756340026855,10548,3700,1253
30000,0.2473464012145996,10548,3700,1253
30000,0.22841763496398926,10548,3700,1253
30000,0.2513282299041748,10548,3700,1253
30000,0.2174241542816162,10548,3700,1253
30000,0.22841691970825195,10548,3700,1253
30000,0.20247888565063477,10548,3700,1253
30000,0.21545124053955078,10548,3700,1253
30000,0.2144012451171875,10548,3700,1253
30000,0.23237848281860352,10548,3700,1253
30000,0.28125977516174316,10548,3700,1253
30000,0.2782399654388428,10548,3700,1253
30000,0.2642936706542969,10548,3700,1253
30000,0.23936128616333008,10548,3700,1253
30000,0.2284097671508789,10548,3700,1253
30000,0.26628994941711426,10548,3700,1253
30000,0.2393801212310791,10548,3700,1253
30000,0.25927066802978516,10548,3700,1253
30000,0.21939301490783691,10548,3700,1253
30000,0.2333981990814209,10548,3700,1253
30000,0.23035788536071777,10548,3700,1253
30000,0.2244250774383545,10548,3700,1253
30000,0.21841740608215332,10548,3700,1253
30000,0.27529191970825195,10548,3700,1253
30000,0.2982051372528076,10548,3700,1253
30000,0.3011953830718994,10548,3700,1253
30000,0.2363884449005127,10548,3700,1253
30000,0.22440338134765625,10548,3700,1253
30000,0.22541260719299316,10548,3700,1253
30000,0.25531864166259766,10548,3700,1253
30000,0.2234036922454834,10548,3700,1253
30000,0.21941423416137695,10548,3700,1253
30000,0.20741915702819824,10548,3700,1253
30000,0.22238612174987793,10548,3700,1253
30000,0.2234039306640625,10548,3700,1253
30000,0.2214066982269287,10548,3700,1253
30000,0.21544837951660156,10548,3700,1253
30000,0.2423419952392578,10548,3700,1253
30000,0.2263948917388916,10548,3700,1253
30000,0.23636817932128906,10548,3700,1253
30000,0.29122185707092285,10548,3700,1253
30000,0.2842400074005127,10548,3700,1253
30000,0.26928019523620605,10548,3700,1253
30000,0.24334979057312012,10548,3700,1253
30000,0.29122328758239746,10548,3700,1253
30000,0.22739744186401367,10548,3700,1253
30000,0.26030468940734863,10548,3700,1253
30000,0.2174074649810791,10548,3700,1253
30000,0.2263953685760498,10548,3700,1253
30000,0.21045780181884766,10548,3700,1253
30000,0.22437143325805664,10548,3700,1253
30000,0.20547866821289062,10548,3700,1253
30000,0.21442651748657227,10548,3700,1253
30000,0.22039079666137695,10548,3700,1253
30000,0.2533237934112549,10548,3700,1253
30000,0.39095473289489746,10548,3700,1253
30000,0.21442794799804688,10548,3700,1253
30000,0.2622990608215332,10548,3700,1253
30000,0.23936009407043457,10548,3700,1253
30000,0.21342682838439941,10548,3700,1253
30000,0.20744538307189941,10548,3700,1253
30000,0.3949441909790039,10548,3700,1253
30000,0.26030540466308594,10548,3700,1253
30000,0.23339629173278809,10548,3700,1253
30000,0.23035693168640137,10548,3700,1253
30000,0.23836326599121094,10548,3700,1253
30000,0.2453453540802002,10548,3700,1253
30000,0.21943449974060059,10548,3700,1253
30000,0.22038531303405762,10548,3700,1253
30000,0.24335026741027832,10548,3700,1253
30000,0.2263956069946289,10548,3700,1253
30000,0.2632942199707031,10548,3700,1253
30000,0.23936057090759277,10548,3700,1253
30000,0.23539209365844727,10548,3700,1253
30000,0.24831032752990723,10548,3700,1253
30000,0.2214374542236328,10548,3700,1253
30000,0.20946073532104492,10548,3700,1253
30000,0.23537111282348633,10548,3700,1253
30000,0.2114558219909668,10548,3700,1253
30000,0.23936009407043457,10548,3700,1253
30000,0.23936009407043457,10548,3700,1253
30000,0.3291206359863281,10548,3700,1253
30000,0.2373659610748291,10548,3700,1253
30000,0.2214353084564209,10548,3700,1253
30000,0.20946145057678223,10548,3700,1253
30000,0.23537087440490723,10548,3700,1253
