plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
10000,0.008955240249633789,3511,1198,452
10000,0.007978439331054688,3511,2313,452
10000,0.016927719116210938,3511,1198,1132
10000,0.011967182159423828,3511,1198,452
10000,0.008974790573120117,3511,2313,452
10000,0.008956670761108398,6489,1198,452
10000,0.0069582462310791016,6489,1198,452
10000,0.006959438323974609,3511,1198,452
10000,0.005963325500488281,3511,1198,746
10000,0.007155895233154297,3511,1198,452
10000,0.006953239440917969,3511,1198,452
10000,0.00894618034362793,9825,3336,1023
10000,0.006980419158935547,3511,2313,452
10000,0.006981611251831055,3511,1198,452
10000,0.007978200912475586,3511,2313,452
10000,0.007979631423950195,3511,1198,452
10000,0.006981611251831055,3511,1198,746
10000,0.006968021392822266,3511,2313,452
10000,0.00797891616821289,3511,1198,452
10000,0.007959127426147461,3511,1198,746
10000,0.007979393005371094,3511,1198,452
10000,0.008980035781860352,6489,1198,452
10000,0.008986949920654297,6489,1198,1023
10000,0.009961366653442383,8802,2313,452
10000,0.008947610855102539,6489,1198,452
10000,0.007861614227294922,3511,2313,452
10000,0.007979631423950195,3511,1198,1023
10000,0.010973691940307617,3511,1198,452
10000,0.00865483283996582,6489,1198,452
10000,0.006953001022338867,3511,1198,746
10000,0.008150339126586914,8802,2313,452
10000,0.007951736450195312,3511,1198,746
10000,0.008977413177490234,3511,3336,1023
10000,0.007957696914672852,3511,1198,452
10000,0.00894784927368164,3511,1198,452
10000,0.00698089599609375,3511,1198,452
10000,0.006979703903198242,3511,1198,452
10000,0.008975505828857422,6489,1198,452
10000,0.00797724723815918,3511,1198,452
10000,0.007951021194458008,3511,1198,452
10000,0.007249355316162109,3511,3059,746
10000,0.008155345916748047,3511,1198,452
10000,0.007950305938720703,3511,1198,746
10000,0.0069522857666015625,3511,1198,452
10000,0.006817340850830078,3511,1198,452
10000,0.007949352264404297,3511,1198,746
10000,0.006983757019042969,3511,2313,452
10000,0.006943702697753906,3511,1198,452
10000,0.010768651962280273,8802,2313,452
10000,0.00994563102722168,3511,1198,452
10000,0.007359743118286133,3511,1198,452
10000,0.007961273193359375,3511,1198,452
10000,0.008606433868408203,3511,1198,452
10000,0.008945941925048828,6489,1198,746
10000,0.008682012557983398,3511,3059,746
10000,0.010945558547973633,3511,3445,3336
10000,0.009979724884033203,8802,2313,452
10000,0.0608365535736084,6489,1198,452
10000,0.01194906234741211,3511,3445,1132
10000,0.011968374252319336,8802,2313,452
10000,0.01894855499267578,6489,1198,452
10000,0.01595759391784668,3511,1198,746
10000,0.005984783172607422,3511,2313,452
10000,0.0069811344146728516,3511,2313,452
10000,0.00897526741027832,8802,2313,452
10000,0.009975194931030273,3511,1198,746
10000,0.007977485656738281,6489,1198,1023
10000,0.006981849670410156,3511,3059,746
10000,0.006981372833251953,3511,1198,452
10000,0.007980108261108398,3511,3059,746
10000,0.006982564926147461,6489,1198,452
10000,0.006981611251831055,3511,1198,452
10000,0.0049860477447509766,3511,2313,452
10000,0.005984067916870117,3511,3336,1023
10000,0.005984306335449219,3511,3059,2313
10000,0.0069844722747802734,3511,3495,1182
10000,0.006295442581176758,3511,1198,1023
10000,0.007979393005371094,8802,2313,452
10000,0.005957126617431641,3511,1198,452
10000,0.0069811344146728516,8802,2313,452
10000,0.008955240249633789,6489,1198,452
10000,0.007952451705932617,6489,1198,452
10000,0.007959604263305664,3511,2313,452
10000,0.008949995040893555,6489,1198,452
10000,0.008956193923950195,3511,3059,746
10000,0.006954193115234375,3511,1198,452
10000,0.007979154586791992,3511,1198,452
10000,0.009958028793334961,8802,2313,452
10000,0.007952690124511719,3511,2313,452
10000,0.00894927978515625,6489,1198,746
10000,0.007967472076416016,3511,1198,746
10000,0.007979393005371094,3511,1198,452
10000,0.007952451705932617,3511,1198,452
10000,0.011942863464355469,3511,3495,1182
10000,0.014959573745727539,6489,1198,746
10000,0.008977174758911133,3511,3445,1132
10000,0.005956172943115234,3511,1198,452
10000,0.006959676742553711,3511,1198,452
10000,0.006963014602661133,3511,1198,452
10000,0.007978677749633789,3511,2313,452
10000,0.006957054138183594,3511,1198,452
10000,0.006981849670410156,3511,1198,746
10000,0.00680851936340332,3511,2313,452
10000,0.0069806575775146484,3511,1198,1182
10000,0.006954193115234375,3511,2313,452
10000,0.007957935333251953,8802,2313,452
10000,0.006985187530517578,3511,1198,452
10000,0.006954669952392578,3511,1198,452
10000,0.007978677749633789,6489,1198,746
10000,0.008949995040893555,3511,1198,452
10000,0.018949270248413086,3511,1198,452
10000,0.007979393005371094,6489,1198,452
10000,0.00699162483215332,3511,1198,746
10000,0.006166934967041016,3511,2313,452
10000,0.006981849670410156,3511,1198,452
10000,0.006982564926147461,6489,1198,452
10000,0.006981849670410156,3511,3059,746
10000,0.00795888900756836,6489,1198,746
10000,0.008977890014648438,6489,1198,1023
