depth,ipodiastima,sorting time
1,6874,0.034906625747680664
2,29626,0.034906625747680664
3,27018,0.034906625747680664
1,42885,0.02894306182861328
2,20374,0.02894306182861328
3,6874,0.02894306182861328
1,20374,0.027924537658691406
2,13500,0.027924537658691406
3,16058,0.027924537658691406
1,33942,0.03089451789855957
2,27068,0.03089451789855957
3,13500,0.03089451789855957
1,43126,0.034906625747680664
2,29626,0.034906625747680664
3,16058,0.034906625747680664
1,43126,0.03989362716674805
2,36011,0.03989362716674805
3,22511,0.03989362716674805
1,20374,0.0249176025390625
2,6874,0.0249176025390625
3,16058,0.0249176025390625
1,42885,0.030895709991455078
2,6874,0.030895709991455078
3,22511,0.030895709991455078
1,6874,0.023936033248901367
2,29626,0.023936033248901367
3,13568,0.023936033248901367
1,6874,0.026928424835205078
2,29626,0.026928424835205078
3,16058,0.026928424835205078
1,13586,0.05786585807800293
2,59387,0.05786585807800293
3,32349,0.05786585807800293
1,13586,0.05782175064086914
2,59387,0.05782175064086914
3,32349,0.05782175064086914
1,40613,0.05185961723327637
2,27027,0.05185961723327637
3,32349,0.05185961723327637
1,13586,0.05784201622009277
2,59387,0.05784201622009277
3,45191,0.05784201622009277
1,86414,0.06781625747680664
2,59387,0.06781625747680664
3,32349,0.06781625747680664
1,67651,0.052858591079711914
2,40613,0.052858591079711914
3,13586,0.052858591079711914
1,91903,0.0708150863647461
2,73403,0.0708150863647461
3,36834,0.0708150863647461
1,63166,0.04689455032348633
2,26597,0.04689455032348633
3,8097,0.04689455032348633
1,36834,0.04188656806945801
2,26597,0.04188656806945801
3,8097,0.04188656806945801
1,63166,0.04689478874206543
2,36569,0.04689478874206543
3,8097,0.04689478874206543
1,368186,0.4498293399810791
2,264610,0.4498293399810791
3,80436,0.4498293399810791
1,631814,0.517608642578125
2,264610,0.517608642578125
3,80436,0.517608642578125
1,735390,0.5734872817993164
2,368186,0.5734872817993164
3,80436,0.5734872817993164
1,368186,1.087186574935913
2,264610,1.087186574935913
3,80436,1.087186574935913
1,368186,1.1295530796051025
2,264610,1.1295530796051025
3,80436,1.1295530796051025
1,368186,1.091203212738037
2,264610,1.091203212738037
3,80436,1.091203212738037
1,368186,1.1171555519104004
2,264610,1.1171555519104004
3,80436,1.1171555519104004
1,368186,1.0797054767608643
2,264610,1.0797054767608643
3,80436,1.0797054767608643
1,368186,1.2758231163024902
2,264610,1.2758231163024902
3,80436,1.2758231163024902
1,368186,0.8826329708099365
2,264610,0.8826329708099365
3,80436,0.8826329708099365
1,368186,0.8179080486297607
2,264610,0.8179080486297607
3,80436,0.8179080486297607
1,368186,0.8250398635864258
2,264610,0.8250398635864258
3,80436,0.8250398635864258
1,368186,0.8068850040435791
2,264610,0.8068850040435791
3,80436,0.8068850040435791
1,368186,0.8198375701904297
2,264610,0.8198375701904297
3,80436,0.8198375701904297
1,368186,0.8771753311157227
2,264610,0.8771753311157227
3,80436,0.8771753311157227
1,368186,1.1011033058166504
2,264610,1.1011033058166504
3,80436,1.1011033058166504
1,368186,1.077713966369629
2,264610,1.077713966369629
3,80436,1.077713966369629
1,368186,1.1076107025146484
2,264610,1.1076107025146484
3,80436,1.1076107025146484
1,735390,0.569453239440918
2,368186,0.569453239440918
3,80436,0.569453239440918
1,631814,0.5427541732788086
2,367204,0.5427541732788086
3,80436,0.5427541732788086
1,368186,0.4892880916595459
2,264610,0.4892880916595459
3,184174,0.4892880916595459
1,368186,0.4773139953613281
2,264610,0.4773139953613281
3,184174,0.4773139953613281
1,919564,0.6555101871490479
2,368186,0.6555101871490479
3,184174,0.6555101871490479
1,368186,0.4712188243865967
2,264610,0.4712188243865967
3,80436,0.4712188243865967
1,368186,0.4634273052215576
2,264610,0.4634273052215576
3,80436,0.4634273052215576
1,368186,0.4650585651397705
2,264610,0.4650585651397705
3,80436,0.4650585651397705
1,368186,0.5118160247802734
2,264610,0.5118160247802734
3,80436,0.5118160247802734
1,368186,0.4623689651489258
2,264610,0.4623689651489258
3,80436,0.4623689651489258
1,368186,0.4852433204650879
2,264610,0.4852433204650879
3,80436,0.4852433204650879
1,368186,0.5148782730102539
2,264610,0.5148782730102539
3,80436,0.5148782730102539
1,368186,0.4821798801422119
2,264610,0.4821798801422119
3,80436,0.4821798801422119
1,368186,0.473787784576416
2,264610,0.473787784576416
3,80436,0.473787784576416
1,368186,0.4700636863708496
2,264610,0.4700636863708496
3,80436,0.4700636863708496
1,735390,0.634777307510376
2,367204,0.634777307510376
3,80436,0.634777307510376
1,735390,0.6321330070495605
2,367204,0.6321330070495605
3,80436,0.6321330070495605
1,735390,0.6203343868255615
2,367204,0.6203343868255615
3,80436,0.6203343868255615
1,93257,0.11269950866699219
2,76193,0.11269950866699219
3,43993,0.11269950866699219
1,93257,0.10907673835754395
2,76193,0.10907673835754395
3,43993,0.10907673835754395
1,93257,0.10963249206542969
2,76193,0.10963249206542969
3,43993,0.10963249206542969
1,93257,0.11092710494995117
2,76193,0.11092710494995117
3,43993,0.11092710494995117
1,93257,0.11031174659729004
2,76193,0.11031174659729004
3,43993,0.11031174659729004
1,93257,0.14960145950317383
2,76193,0.14960145950317383
3,43993,0.14960145950317383
