plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
10000,0.007985830307006836,3657,2643,835
10000,0.007980108261108398,3657,2643,835
10000,0.007982492446899414,3657,2643,835
10000,0.007978200912475586,3657,2643,835
10000,0.007978439331054688,3657,2643,835
10000,0.006982088088989258,3657,2643,835
10000,0.008970499038696289,3657,2643,835
10000,0.007979631423950195,3657,2643,835
10000,0.00897526741027832,3657,2643,835
10000,0.007977724075317383,3657,2643,835
10000,0.0069828033447265625,3657,2643,835
10000,0.007987737655639648,3657,2643,835
10000,0.007979631423950195,3657,2643,835
10000,0.007980108261108398,3657,2643,835
10000,0.008976459503173828,3657,2643,835
10000,0.005984306335449219,3657,2643,835
10000,0.006981611251831055,3657,2643,835
10000,0.006982326507568359,3657,2643,835
10000,0.007978439331054688,3657,2643,835
10000,0.007979393005371094,3657,2643,835
10000,0.007979154586791992,3657,2643,835
10000,0.007978439331054688,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.00698089599609375,3657,2643,835
10000,0.006982564926147461,3657,2643,835
10000,0.005984067916870117,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.005984306335449219,3657,2643,835
10000,0.0069806575775146484,3657,2643,835
10000,0.0468754768371582,3657,2643,835
10000,0.04488086700439453,3657,2643,835
10000,0.019946575164794922,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.007980108261108398,3657,2643,835
10000,0.006981372833251953,3657,2643,835
10000,0.00598454475402832,3657,2643,835
10000,0.0059850215911865234,3657,2643,835
10000,0.00598454475402832,3657,2643,835
10000,0.007978200912475586,3657,2643,835
10000,0.009975671768188477,3657,2643,835
10000,0.0069811344146728516,3657,2643,835
10000,0.006982088088989258,3657,2643,835
10000,0.0069811344146728516,3657,2643,835
10000,0.007978677749633789,3657,2643,835
10000,0.006981372833251953,3657,2643,835
10000,0.00698089599609375,3657,2643,835
10000,0.006982326507568359,3657,2643,835
10000,0.006982088088989258,3657,2643,835
10000,0.006981611251831055,3657,2643,835
10000,0.00698089599609375,3657,2643,835
10000,0.006982326507568359,3657,2643,835
10000,0.006981372833251953,3657,2643,835
10000,0.0059850215911865234,3657,2643,835
10000,0.0069828033447265625,3657,2643,835
10000,0.005984067916870117,3657,2643,835
10000,0.008976459503173828,3657,2643,835
10000,0.00698089599609375,3657,2643,835
10000,0.007978677749633789,3657,2643,835
10000,0.00797891616821289,3657,2643,835
10000,0.007978200912475586,3657,2643,835
10000,0.00598454475402832,3657,2643,835
10000,0.050864458084106445,3657,2643,835
10000,0.007979393005371094,3657,2643,835
10000,0.0069811344146728516,3657,2643,835
10000,0.007979393005371094,3657,2643,835
10000,0.00797891616821289,3657,2643,835
10000,0.006982088088989258,3657,2643,835
10000,0.007979869842529297,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.006981611251831055,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.007979869842529297,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.005983591079711914,3657,2643,835
10000,0.007978439331054688,3657,2643,835
10000,0.006981611251831055,3657,2643,835
10000,0.007979154586791992,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.005984067916870117,3657,2643,835
10000,0.006982088088989258,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.006982088088989258,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.006981372833251953,3657,2643,835
10000,0.006981372833251953,3657,2643,835
10000,0.007979154586791992,3657,2643,835
10000,0.006981611251831055,3657,2643,835
10000,0.006983041763305664,3657,2643,835
10000,0.008973836898803711,3657,2643,835
10000,0.0059850215911865234,3657,2643,835
10000,0.006981611251831055,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.006981611251831055,3657,2643,835
10000,0.007979393005371094,3657,2643,835
10000,0.00797891616821289,3657,2643,835
10000,0.012964010238647461,3657,2643,835
10000,0.0069811344146728516,3657,2643,835
10000,0.006981849670410156,3657,2643,835
10000,0.0059850215911865234,3657,2643,835
10000,0.006980180740356445,3657,2643,835
10000,0.006981372833251953,3657,2643,835
