plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
20000,0.02991962432861328,14672,7406,1563
20000,0.036902666091918945,14672,7266,1563
20000,0.015957355499267578,7266,5328,1563
20000,0.01595759391784668,7266,5328,4992
20000,0.018949270248413086,12734,5328,1563
20000,0.045877695083618164,14672,7406,1563
20000,0.02991962432861328,19664,7266,4992
20000,0.02493596076965332,18437,7266,3765
20000,0.017951488494873047,12734,11171,3765
20000,0.01396322250366211,7266,5328,1563
20000,0.014958858489990234,7266,5328,1563
20000,0.013962030410766602,7266,5328,1563
20000,0.013962745666503906,7266,5328,5270
20000,0.014960765838623047,12734,5328,1563
20000,0.8547525405883789,12734,5328,1563
20000,0.026928186416625977,7266,5328,1563
20000,0.03989458084106445,14672,7406,1563
20000,0.02892160415649414,12734,7406,1563
20000,0.12367129325866699,12734,5328,4992
20000,0.11469674110412598,14672,7266,1563
20000,0.042876243591308594,12734,7406,1563
20000,0.036902427673339844,14672,7266,1563
20000,0.0404052734375,12734,12398,7406
20000,0.03391003608703613,14672,7266,1563
20000,0.031915903091430664,12734,7406,1563
20000,0.028923511505126953,7266,5328,1563
20000,0.024935007095336914,18437,7266,3765
20000,0.05186295509338379,7266,5328,3765
20000,0.01894998550415039,12734,5328,1563
20000,0.01994609832763672,7266,5328,3765
20000,0.019947290420532227,14672,7406,1563
20000,0.017952442169189453,12734,5328,1563
20000,0.02194070816040039,12734,7406,1563
20000,0.03191637992858887,12734,7406,1563
20000,0.026928186416625977,7266,5328,1563
20000,0.03191637992858887,14672,7406,1563
20000,0.02493453025817871,18437,7266,3765
20000,0.03889751434326172,7266,5328,1563
20000,0.020457983016967773,18437,7266,3765
20000,0.021940946578979492,12734,7406,1563
20000,0.03889727592468262,14672,7266,1563
20000,0.03741455078125,14672,7406,1563
20000,0.04288506507873535,7266,5328,1563
20000,0.03490781784057617,14672,7266,1563
20000,0.039406776428222656,7266,5328,1563
20000,0.05385589599609375,14672,7266,1563
20000,0.05237269401550293,18437,14672,7406
20000,0.03091883659362793,7266,5328,3765
20000,0.031916141510009766,14672,7266,1563
20000,0.021456003189086914,12734,11171,3765
20000,0.016955137252807617,7266,5328,1563
20000,0.024446487426757812,12734,5328,3765
20000,0.020944833755493164,14672,7406,1563
20000,0.01894998550415039,12734,7406,1563
20000,0.025930166244506836,12734,11171,7406
20000,0.041890859603881836,12734,7406,1563
20000,0.036901235580444336,18437,7266,3765
20000,0.03390860557556152,12734,7406,1563
20000,0.019946813583374023,12734,5328,1563
20000,0.019946575164794922,7266,5328,1563
20000,0.021941184997558594,14672,7406,1563
20000,0.027924776077270508,7266,5328,3765
20000,0.02692866325378418,18437,7266,3765
20000,0.03291201591491699,12734,5328,1563
20000,0.029920339584350586,7266,5328,1563
20000,0.02094411849975586,7266,5328,3765
20000,0.022938966751098633,14672,7266,1563
20000,0.018950939178466797,12734,7406,1563
20000,0.026929140090942383,7266,5328,1563
20000,0.02544116973876953,12734,7406,1563
20000,0.019946575164794922,12734,5328,3765
20000,0.022939443588256836,12734,7406,1563
20000,0.03291177749633789,12734,11171,3765
20000,0.02593064308166504,12734,5328,1563
20000,0.025928735733032227,12734,5328,3765
20000,0.025932788848876953,14672,7406,1563
20000,0.05884408950805664,12734,5328,1563
20000,0.027926206588745117,12734,11171,3765
20000,0.047873735427856445,12734,7406,1563
20000,0.04886960983276367,14672,7406,1563
20000,0.09275174140930176,7266,5328,3765
20000,0.04388117790222168,14672,7406,1563
20000,0.05286002159118652,7266,5328,1563
20000,0.043883562088012695,7266,5328,1563
20000,0.020946264266967773,12734,5328,3765
20000,0.01795172691345215,7266,5328,3765
20000,0.01695537567138672,7266,5328,1563
20000,0.019947052001953125,7266,5328,1563
20000,0.03091883659362793,12734,7406,1563
20000,0.03191494941711426,12734,7406,1563
20000,0.03490591049194336,12734,5328,3765
20000,0.029919147491455078,7266,5328,3765
20000,0.0329127311706543,7266,5328,4992
20000,0.0359039306640625,18437,11171,3765
20000,0.018949270248413086,12734,5328,1563
20000,0.025930404663085938,12734,7406,1563
20000,0.027925729751586914,12734,5328,3765
20000,0.018949270248413086,12734,5328,3765
20000,0.020945072174072266,7266,5328,1563
20000,0.022939205169677734,7266,5328,3765
20000,0.03590583801269531,7266,5328,3765
20000,0.01894998550415039,7266,5328,3765
20000,0.01595759391784668,7266,5328,1563
20000,0.017952919006347656,12734,5328,1563
20000,0.10970950126647949,7266,5328,1563
20000,0.0329132080078125,12734,5328,1563
20000,0.02094435691833496,14672,7406,1563
20000,0.02293992042541504,12734,11171,7406
20000,0.02008533477783203,14672,7266,1563
20000,0.01795220375061035,12734,5328,1563
20000,0.017950773239135742,7266,5328,1563
20000,0.016953706741333008,7266,5328,1563
20000,0.020943641662597656,7266,5328,1563
20000,0.01595616340637207,7266,5328,1563
20000,0.017952919006347656,14672,7266,1563
20000,0.015958309173583984,7266,5328,3765
20000,0.025931119918823242,12734,7406,1563
20000,0.021942138671875,7266,5328,1563
20000,0.018949031829833984,12734,11171,7406
20000,0.019947290420532227,7266,5328,3765
20000,0.020943403244018555,12734,7406,1563
20000,0.02393794059753418,14672,7406,1563
20000,0.01595759391784668,7266,5328,3765
20000,0.012966394424438477,7266,5328,1563
20000,0.014961004257202148,7266,5328,1563
20000,0.023936986923217773,12734,12676,5270
20000,0.01795172691345215,7266,5328,1563
20000,0.01994633674621582,14672,7266,1563
20000,0.10372447967529297,14672,7406,1563
20000,0.013963460922241211,7266,5328,1563
20000,0.016953706741333008,12734,7406,1563
20000,0.016954421997070312,12734,5328,1563
20000,0.1979846954345703,19664,12398,7406
20000,0.022991418838500977,12734,11171,7406
20000,0.012965917587280273,7266,5328,1563
20000,0.013962984085083008,7266,5328,1563
20000,0.01595783233642578,12734,5328,1563
20000,0.012966156005859375,7266,5328,1563
20000,0.01595759391784668,14672,7266,1563
20000,0.016954898834228516,12734,11171,7406
20000,0.014960289001464844,7266,5328,1563
20000,0.01795339584350586,14672,7406,1563
20000,0.016953706741333008,14672,7266,1563
20000,0.018950223922729492,12734,5328,3765
20000,0.019947052001953125,12734,5328,1563
20000,0.029919862747192383,18437,14672,7406
20000,0.020944833755493164,7266,5328,1563
20000,0.021942615509033203,7266,5328,1563
20000,0.025444984436035156,12734,5328,1563
20000,0.018948793411254883,7266,5328,3765
20000,0.18153953552246094,18437,7266,3765
20000,0.015909433364868164,12734,7406,1563
20000,0.01695418357849121,12734,11171,3765
20000,0.015957355499267578,12734,5328,3765
20000,0.016956567764282227,12734,5328,1563
20000,0.01694798469543457,12734,5328,1563
20000,0.020946502685546875,18437,7266,3765
20000,0.022939682006835938,12734,5328,3765
20000,0.04288506507873535,7266,5328,3765
20000,0.028922319412231445,14672,7266,1563
20000,0.02294015884399414,18437,7266,3765
20000,0.016954898834228516,7266,5328,4992
20000,0.031214475631713867,12734,5328,1563
20000,0.030918359756469727,12734,7406,1563
20000,0.021941423416137695,14672,7406,1563
20000,0.038898468017578125,7266,5328,1563
20000,0.027925968170166016,7266,5328,3765
20000,0.018949508666992188,7266,5328,1563
20000,0.024933576583862305,12734,5328,3765
20000,0.03989553451538086,18437,14672,7406
20000,0.032911062240600586,19664,7266,4992
20000,0.03391003608703613,19664,7266,4992
20000,0.016955137252807617,7266,5328,1563
20000,0.030917882919311523,14672,7266,1563
20000,0.018950462341308594,7266,5328,1563
20000,0.020945072174072266,12734,5328,4992
20000,0.016954421997070312,14672,7266,1563
20000,0.02293992042541504,7266,5328,1563
20000,0.027924776077270508,7266,5328,3765
20000,0.028924226760864258,7266,5328,1563
20000,0.027925968170166016,7266,5328,4992
20000,0.01695561408996582,7266,5328,3765
20000,0.018950223922729492,12734,5328,1563
20000,0.018463134765625,14672,7406,1563
20000,0.027924776077270508,14672,7406,1563
20000,0.017953157424926758,7266,5328,1563
20000,0.0329127311706543,12734,5328,3765
20000,0.03840947151184082,12734,7406,1563
20000,0.02692890167236328,12734,5328,1563
20000,0.03490710258483887,14672,7406,1563
20000,0.04587841033935547,12734,5328,1563
20000,0.03989386558532715,14672,7266,1563
20000,0.02892327308654785,14672,7266,1563
20000,0.0438847541809082,18437,7266,3765
20000,0.03191637992858887,12734,7406,1563
20000,0.02792525291442871,7266,5328,3765
20000,0.027438640594482422,12734,7406,1563
20000,0.016955852508544922,7266,5328,1563
20000,0.023936033248901367,14672,7266,1563
20000,0.030918598175048828,12734,5328,3765
20000,0.02792501449584961,14672,7266,1563
20000,0.031915903091430664,18437,7266,3765
20000,0.02892446517944336,7266,5328,3765
20000,0.03490591049194336,18437,11171,7406
20000,0.02992081642150879,7266,5328,3765
20000,0.02393627166748047,12734,7406,1563
20000,0.022939682006835938,7266,5328,3765
20000,0.029921770095825195,14672,7406,1563
20000,0.021942853927612305,12734,5328,4992
20000,0.025930404663085938,12734,5328,1563
20000,0.04288601875305176,7266,5328,3765
20000,0.06582498550415039,14672,7266,1563
20000,0.022939205169677734,14672,7266,1563
20000,0.015956878662109375,12734,5328,1563
20000,0.017953157424926758,12734,11171,3765
20000,0.015959501266479492,7266,5328,3765
20000,0.01994776725769043,12734,11171,7406
20000,0.01795220375061035,7266,5328,3765
20000,0.018950462341308594,7266,5328,1563
20000,0.03191542625427246,7266,5328,1563
20000,0.03191494941711426,12734,5328,4992
20000,0.033908843994140625,18437,7266,3765
20000,0.027926206588745117,7266,5328,1563
20000,0.022450923919677734,12734,7406,1563
20000,0.01894855499267578,18437,7266,3765
20000,0.016954660415649414,7266,5328,3765
20000,0.01795196533203125,12734,5328,1563
20000,0.01994800567626953,14672,7406,1563
20000,0.0249326229095459,7266,5328,1563
20000,0.03390932083129883,12734,7406,1563
20000,0.023936748504638672,7266,5328,1563
20000,0.01495981216430664,7266,5328,1563
20000,0.1030728816986084,12734,7406,1563
20000,0.021939516067504883,14672,7406,1563
20000,0.015958309173583984,12734,5328,1563
20000,0.0249326229095459,7266,5328,4992
20000,0.02194046974182129,7266,5328,3765
20000,0.015956878662109375,7266,5328,1563
20000,0.015959501266479492,12734,7406,1563
20000,0.03191542625427246,12734,7406,1563
20000,0.02892327308654785,7266,5328,1563
20000,0.02992081642150879,12734,7406,1563
20000,0.033910512924194336,12734,5328,1563
20000,0.036902427673339844,14672,7406,1563
20000,0.026927947998046875,12734,5328,3765
20000,0.02991938591003418,14672,7266,1563
20000,0.028923511505126953,12734,5328,1563
20000,0.03091907501220703,12734,5328,1563
20000,0.028922319412231445,12734,5328,1563
20000,0.022938966751098633,12734,5328,3765
20000,0.02393627166748047,12734,5328,1563
20000,0.016954421997070312,7266,5328,1563
20000,0.018949270248413086,7266,5328,3765
20000,0.11768722534179688,14672,7406,1563
20000,0.02892470359802246,7266,5328,1563
20000,0.0329129695892334,12734,7406,1563
20000,0.02992105484008789,7266,5328,1563
20000,0.02892279624938965,14672,7266,1563
20000,0.02992081642150879,7266,5328,1563
20000,0.0364224910736084,12734,11171,7406
20000,0.033910512924194336,14672,7406,1563
20000,0.040891408920288086,19942,12676,7406
20000,0.029921293258666992,7266,5328,1563
20000,0.022937536239624023,7266,5328,1563
20000,0.01894974708557129,12734,5328,1563
20000,0.017952442169189453,12734,5328,3765
20000,0.01795220375061035,14672,7266,1563
20000,0.025930166244506836,7266,5328,1563
20000,0.02393651008605957,7266,5328,1563
20000,0.05385565757751465,14672,7266,1563
20000,0.0329136848449707,12734,5328,1563
20000,0.03889584541320801,12734,7406,1563
20000,0.02094435691833496,7266,5328,1563
20000,0.01894998550415039,7266,5328,1563
20000,0.1381685733795166,12734,5328,1563
20000,0.023936986923217773,7266,5328,4992
20000,0.01595783233642578,7266,5328,3765
20000,0.017609596252441406,14672,7406,1563
20000,0.017952680587768555,12734,5328,1563
20000,0.017952919006347656,7266,5328,1563
20000,0.020945310592651367,7266,5328,4992
20000,0.023935556411743164,12734,7406,1563
20000,0.01795196533203125,7266,5328,1563
20000,0.02593064308166504,18437,14672,7406
20000,0.026927947998046875,12734,5328,1563
20000,0.016955137252807617,12734,5328,3765
20000,0.023936986923217773,14672,7266,1563
20000,0.02145218849182129,14672,7406,1563
20000,0.014959573745727539,7266,5328,1563
20000,0.019948482513427734,12734,5328,1563
20000,0.021454572677612305,12734,7406,1563
20000,0.04488110542297363,18437,14672,7406
20000,0.03490638732910156,14672,7266,1563
20000,0.04787397384643555,12734,5328,5270
20000,0.02293872833251953,12734,11171,3765
20000,0.17205429077148438,12734,7406,1563
20000,0.0239410400390625,7266,5328,4992
20000,0.016956806182861328,12734,5328,1563
20000,0.016955137252807617,12734,7406,1563
20000,0.01695561408996582,14672,7266,1563
20000,0.014968395233154297,7266,5328,1563
20000,0.025931119918823242,12734,5328,3765
20000,0.031914472579956055,14672,7406,1563
20000,0.030917644500732422,12734,7406,1563
20000,0.04188847541809082,19664,18437,14672
20000,0.014960289001464844,7266,5328,3765
20000,0.02992081642150879,12734,5328,1563
20000,0.025933027267456055,7266,5328,1563
20000,0.024933815002441406,7266,5328,3765
20000,0.027924776077270508,7266,5328,3765
20000,0.03741455078125,18437,11171,3765
20000,0.017951488494873047,7266,5328,1563
20000,0.01795172691345215,14672,7406,1563
20000,0.015957117080688477,7266,5328,1563
20000,0.014961481094360352,7266,5328,1563
20000,0.02094435691833496,12734,5328,1563
20000,0.05186057090759277,14672,7266,1563
20000,0.039893150329589844,18437,14672,7266
20000,0.02094435691833496,14672,7266,1563
20000,0.020945310592651367,7266,5328,1563
20000,0.030917882919311523,7266,5328,1563
20000,0.025931596755981445,7266,5328,1563
20000,0.026928424835205078,14672,7266,1563
20000,0.02892470359802246,7266,5328,3765
20000,0.030918121337890625,12734,7406,1563
20000,0.020944595336914062,12734,11171,3765
20000,0.028921842575073242,14672,7406,1563
20000,0.01695537567138672,7266,5328,1563
20000,0.027925729751586914,12734,5328,4992
20000,0.023936033248901367,12734,7406,1563
20000,0.02593207359313965,7266,5328,3765
20000,0.02293992042541504,7266,5328,1563
20000,0.013963699340820312,7266,5328,1563
20000,0.020946264266967773,12734,7406,1563
20000,0.015955448150634766,14672,7266,1563
20000,0.011968612670898438,7266,5328,1563
20000,0.10024476051330566,12734,5328,1563
20000,0.020131349563598633,14672,7266,1563
20000,0.017952442169189453,7266,5328,3765
20000,0.017952680587768555,7266,5328,3765
20000,0.014960527420043945,7266,5328,3765
20000,0.014960050582885742,7266,5328,1563
20000,0.022939443588256836,14672,7266,1563
20000,0.01695418357849121,7266,5328,1563
20000,0.015958309173583984,12734,5328,1563
20000,0.030917644500732422,19664,14672,7266
20000,0.02094578742980957,14672,7406,1563
20000,0.023936748504638672,12734,5328,1563
20000,0.014961481094360352,7266,5328,1563
20000,0.019947052001953125,14672,7266,1563
20000,0.01795196533203125,14672,7406,1563
20000,0.017953157424926758,12734,7406,1563
20000,0.01795196533203125,12734,5328,1563
20000,0.02094435691833496,12734,5328,1563
20000,0.016959190368652344,14672,7406,1563
20000,0.015957117080688477,7266,5328,1563
20000,0.01695537567138672,7266,5328,4992
20000,0.018948793411254883,7266,5328,3765
20000,0.0219419002532959,7266,5328,1563
20000,0.014554977416992188,7266,5328,3765
20000,0.05385565757751465,12734,7406,1563
20000,0.03390955924987793,14672,7406,1563
20000,0.034906625747680664,14672,7406,1563
20000,0.03191423416137695,12734,12398,4992
20000,0.02892303466796875,7266,5328,1563
20000,0.03191494941711426,12734,11171,7406
20000,0.02324509620666504,7266,5328,1563
20000,0.024934768676757812,14672,7266,1563
20000,0.025932788848876953,7266,5328,1563
20000,0.021942615509033203,14672,7266,1563
20000,0.018950223922729492,14672,7266,1563
20000,0.0189511775970459,7266,5328,3765
20000,0.01595783233642578,7266,5328,1563
20000,0.01695418357849121,7266,5328,1563
20000,0.030918121337890625,12734,5328,1563
20000,0.03191566467285156,7266,5328,1563
20000,0.03790020942687988,14672,7266,1563
20000,0.026928424835205078,12734,11171,7406
20000,0.021939754486083984,7266,5328,1563
20000,0.0468754768371582,14672,7406,1563
20000,0.05984044075012207,12734,5328,1563
20000,0.053856849670410156,7266,5328,1563
20000,0.08876347541809082,7266,5328,1563
20000,0.04400825500488281,7266,5328,4992
20000,0.06000375747680664,14672,7266,1563
20000,0.05692100524902344,7266,5328,1563
20000,0.048492431640625,7266,5328,3765
20000,0.08398199081420898,7266,5328,1563
20000,0.10377883911132812,7266,5328,3765
20000,0.13663864135742188,14672,7406,1563
20000,0.21642446517944336,7266,5328,4992
20000,0.12896084785461426,7266,5328,3765
20000,0.12502241134643555,12734,7406,1563
20000,0.043883323669433594,12734,5328,1563
20000,0.06897187232971191,7266,5328,3765
20000,0.03700065612792969,12734,7406,1563
20000,0.0870356559753418,7266,5328,1563
20000,0.03051161766052246,12734,5328,1563
20000,0.09401845932006836,14672,7406,1563
20000,0.08301019668579102,19942,18437,11171
20000,0.31702709197998047,14672,7266,1563
20000,0.0749666690826416,12734,5328,3765
20000,0.121978759765625,14672,7406,1563
20000,0.06897330284118652,12734,5328,3765
20000,0.12989282608032227,12734,7406,1563
20000,0.06299543380737305,7266,5328,3765
20000,0.08099198341369629,12734,5328,3765
20000,0.06999516487121582,14672,7266,1563
20000,0.2263944149017334,7266,5328,1563
20000,0.04096508026123047,7266,5328,3765
20000,0.03199315071105957,7266,5328,4992
20000,0.028974294662475586,12734,5328,3765
20000,0.024957895278930664,7266,5328,1563
20000,0.05197763442993164,7266,5328,1563
20000,0.07093214988708496,19664,12398,4992
20000,0.04995608329772949,12734,5328,1563
20000,0.04098033905029297,12734,5328,1563
20000,0.041950225830078125,7266,5328,1563
20000,0.046976327896118164,7266,5328,1563
20000,0.08642792701721191,19664,7266,4992
20000,0.20688533782958984,18437,11171,3765
20000,0.04501700401306152,7266,5328,1563
20000,0.05298495292663574,7266,5328,3765
20000,0.056978464126586914,12734,5328,1563
20000,0.035025835037231445,14672,7266,1563
20000,0.08598828315734863,12734,5328,1563
20000,0.08700680732727051,12734,5328,4992
20000,0.2569916248321533,19664,7266,4992
20000,0.19809746742248535,12734,12398,4992
20000,0.058008432388305664,12734,5328,1563
20000,0.07103991508483887,12734,7406,1563
20000,0.2370283603668213,7266,5328,1563
20000,0.021040916442871094,7266,5328,1563
20000,0.02298426628112793,7266,5328,1563
20000,0.026987314224243164,18437,7266,3765
20000,0.024992704391479492,7266,5328,1563
20000,0.021999597549438477,7266,5328,1563
20000,0.019978046417236328,7266,5328,3765
20000,0.07480192184448242,12734,7406,1563
20000,0.03191518783569336,12734,5328,3765
20000,0.02094435691833496,7266,5328,4992
20000,0.019946575164794922,7266,5328,1563
20000,0.025028705596923828,7266,5328,3765
20000,0.032912254333496094,14672,7266,1563
20000,0.03191566467285156,14672,7406,1563
20000,0.035902976989746094,14672,7406,1563
20000,0.02892303466796875,7266,5328,1563
20000,0.03390932083129883,12734,5328,1563
20000,0.028920412063598633,12734,7406,1563
20000,0.17952275276184082,14672,7266,1563
20000,0.03690147399902344,14672,7406,1563
20000,0.02593064308166504,14672,7406,1563
20000,0.03473258018493652,14672,7406,1563
20000,0.020944595336914062,7266,5328,1563
20000,0.09474897384643555,7266,5328,1563
20000,0.0438840389251709,14672,7266,1563
20000,0.0653378963470459,7266,5328,3765
20000,0.04103899002075195,12734,5328,1563
20000,0.050380706787109375,7266,5328,1563
20000,0.02792501449584961,7266,5328,1563
20000,0.0329127311706543,7266,5328,3765
20000,0.02094435691833496,7266,5328,1563
20000,0.030916929244995117,7266,5328,3765
20000,0.038895368576049805,12734,12731,7406
20000,0.07380318641662598,14672,7266,1563
20000,0.02991962432861328,7266,5328,3765
20000,0.02293872833251953,7266,5328,3765
20000,0.021941423416137695,14672,7406,1563
20000,0.02094554901123047,12734,7406,1563
20000,0.03590559959411621,14672,7266,1563
20000,0.02692890167236328,18437,14672,7266
20000,0.03390955924987793,14672,7266,1563
20000,0.032912492752075195,12734,5328,1563
20000,0.029921293258666992,14672,7266,1563
20000,0.02992105484008789,7266,5328,1563
20000,0.02992081642150879,12734,7406,1563
20000,0.023935556411743164,7266,5328,5270
20000,0.034906864166259766,14672,7266,1563
20000,0.06482815742492676,7266,5328,1563
20000,0.06981444358825684,7266,5328,1563
20000,0.14960217475891113,7266,5328,1563
20000,0.028922557830810547,12734,5328,1563
20000,0.0219423770904541,7266,5328,1563
20000,0.02513861656188965,7266,5328,1563
20000,0.05385780334472656,12734,11171,3765
20000,0.03789877891540527,7266,5328,3765
20000,0.040891408920288086,14672,7266,1563
20000,0.035904645919799805,14672,7266,1563
20000,0.026927709579467773,7266,5328,4992
20000,0.04886937141418457,7266,5328,1563
20000,0.025931358337402344,7266,5328,1563
20000,0.022939682006835938,7266,5328,1563
20000,0.029920339584350586,7266,5328,3765
20000,0.07978701591491699,12734,5328,3765
20000,0.04288601875305176,14672,7266,1563
20000,0.024933815002441406,12734,5328,1563
20000,0.057847023010253906,12734,7406,1563
20000,0.19953107833862305,12734,11171,3765
20000,0.04900789260864258,7266,5328,3765
20000,0.023996353149414062,14672,7266,1563
20000,0.02402329444885254,12734,5328,1563
20000,0.028010845184326172,14672,7266,1563
20000,0.02250838279724121,12734,7406,1563
20000,0.025931835174560547,12734,5328,1563
20000,0.019946813583374023,12734,5328,1563
20000,0.04587697982788086,7266,5328,1563
20000,0.03989291191101074,12734,5328,1563
20000,0.05984163284301758,18437,14672,7266
20000,0.022452592849731445,12734,5328,1563
20000,0.028923749923706055,14672,7406,1563
20000,0.02943563461303711,19664,7266,4992
20000,0.01795172691345215,7266,5328,1563
20000,0.018948793411254883,7266,5328,1563
20000,0.03091740608215332,12734,5328,1563
20000,0.20246076583862305,12734,7406,1563
20000,0.024934768676757812,7266,5328,1563
20000,0.04587674140930176,18437,14672,7266
20000,0.041890859603881836,7266,5328,3765
20000,0.04188895225524902,12734,7406,1563
20000,0.044881582260131836,7266,5328,1563
20000,0.04886984825134277,12734,11171,7406
20000,0.03889822959899902,18437,11171,3765
20000,0.047872066497802734,12734,5328,1563
20000,0.024932384490966797,12734,7406,1563
20000,0.029433488845825195,12734,5328,1563
20000,0.0219423770904541,7266,5328,1563
20000,0.02388596534729004,14672,7266,1563
20000,0.020943641662597656,7266,5328,3765
20000,0.029921293258666992,19664,12398,4992
20000,0.020943641662597656,12734,7406,1563
20000,0.01994776725769043,7266,5328,1563
20000,0.04288625717163086,14672,7406,1563
20000,0.13663578033447266,14672,7266,1563
20000,0.020944595336914062,12734,7406,1563
20000,0.022939682006835938,7266,5328,1563
