plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
1000,0.017046213150024414,726,378,80
1000,0.003988742828369141,348,274,80
1000,0.004987239837646484,348,274,80
1000,0.0029916763305664062,652,274,80
1000,0.003001689910888672,652,378,80
1000,0.00299072265625,652,274,80
1000,0.0029914379119873047,652,378,80
1000,0.004990816116333008,652,274,80
1000,0.002954721450805664,920,572,378
1000,0.002962827682495117,726,348,80
1000,0.002992391586303711,348,274,194
1000,0.004986763000488281,348,274,80
1000,0.0029914379119873047,652,378,80
1000,0.003989219665527344,652,274,80
1000,0.0029916763305664062,348,274,194
1000,0.0039904117584228516,652,572,378
1000,0.001993894577026367,726,378,80
1000,0.002971172332763672,652,274,80
1000,0.0029921531677246094,652,274,194
1000,0.00299072265625,652,274,194
1000,0.001972675323486328,652,378,80
1000,0.003988981246948242,652,378,80
1000,0.005984783172607422,652,274,252
1000,0.0029909610748291016,348,274,80
1000,0.0029702186584472656,348,274,80
1000,0.0029914379119873047,652,274,194
1000,0.002991199493408203,348,274,80
1000,0.0019931793212890625,726,378,80
1000,0.001994609832763672,348,274,80
1000,0.004986763000488281,652,274,194
1000,0.002991914749145508,348,274,80
1000,0.003988027572631836,652,274,194
1000,0.00399017333984375,348,274,80
1000,0.0019941329956054688,652,630,252
1000,0.001993417739868164,726,348,80
1000,0.002992391586303711,348,274,80
1000,0.0029897689819335938,652,378,80
1000,0.0029921531677246094,348,274,80
1000,0.0019953250885009766,726,348,80
1000,0.0015833377838134766,652,274,80
1000,0.002991199493408203,652,274,80
1000,0.00498652458190918,726,348,80
1000,0.0019936561584472656,652,274,80
1000,0.001994609832763672,726,378,80
1000,0.001993894577026367,652,378,80
1000,0.0019943714141845703,920,572,194
1000,0.001995086669921875,348,274,194
1000,0.0009961128234863281,726,348,80
1000,0.0009982585906982422,348,274,80
1000,0.001992940902709961,348,274,80
1000,0.0019941329956054688,652,630,252
1000,0.0019943714141845703,652,378,80
1000,0.001993417739868164,652,274,80
1000,0.0029916763305664062,652,274,194
1000,0.007979631423950195,348,274,194
1000,0.001994609832763672,652,274,252
1000,0.002991914749145508,348,274,80
1000,0.0019936561584472656,348,274,80
1000,0.0019936561584472656,920,348,194
1000,0.0029914379119873047,652,274,80
1000,0.0039904117584228516,726,378,80
1000,0.000997304916381836,652,274,80
1000,0.0019943714141845703,652,378,80
1000,0.001994609832763672,726,378,80
1000,0.0019941329956054688,348,274,80
1000,0.0029916763305664062,652,274,252
1000,0.001995086669921875,652,378,80
1000,0.0019941329956054688,348,274,80
1000,0.0039899349212646484,652,630,252
1000,0.0019943714141845703,348,274,194
1000,0.0029916763305664062,978,348,252
1000,0.0019936561584472656,348,274,194
1000,0.0019927024841308594,920,348,194
1000,0.0029909610748291016,652,378,80
1000,0.0029897689819335938,726,348,80
1000,0.001994609832763672,652,378,80
1000,0.012965202331542969,348,274,194
1000,0.004985332489013672,348,274,80
1000,0.0019941329956054688,652,274,80
1000,0.0019958019256591797,652,274,194
1000,0.001993894577026367,652,274,252
1000,0.00299072265625,652,274,194
1000,0.0029916763305664062,348,274,194
1000,0.0019927024841308594,652,378,80
1000,0.0019936561584472656,652,274,252
1000,0.0019943714141845703,348,274,252
1000,0.0019948482513427734,726,348,80
1000,0.0019941329956054688,348,274,194
1000,0.001995086669921875,348,274,80
1000,0.0019941329956054688,726,348,80
1000,0.0039899349212646484,348,274,80
1000,0.0019943714141845703,920,348,194
1000,0.0029926300048828125,348,274,80
1000,0.0019941329956054688,652,274,80
1000,0.0019936561584472656,652,274,194
1000,0.0019943714141845703,348,274,80
1000,0.0019943714141845703,348,274,80
1000,0.001994609832763672,920,572,194
1000,0.001993894577026367,652,274,80
1000,0.00399017333984375,726,348,80
1000,0.001993894577026367,726,348,80
1000,0.0029914379119873047,726,348,80
1000,0.001993894577026367,348,274,194
1000,0.0019936561584472656,652,378,80
1000,0.0029909610748291016,348,274,194
1000,0.0019948482513427734,652,378,80
1000,0.001994609832763672,348,274,252
1000,0.0039899349212646484,348,274,252
1000,0.0009975433349609375,348,274,80
1000,0.0019936561584472656,348,274,80
1000,0.001993894577026367,348,274,80
1000,0.0019948482513427734,652,274,80
1000,0.003988742828369141,652,274,80
1000,0.001993894577026367,726,378,80
1000,0.002991914749145508,652,572,194
1000,0.0019943714141845703,348,274,252
1000,0.0019931793212890625,348,274,80
1000,0.001993894577026367,726,348,80
1000,0.0019941329956054688,726,348,80
1000,0.001993417739868164,348,274,80
1000,0.0029916763305664062,348,274,80
1000,0.001994609832763672,348,274,252
1000,0.001994609832763672,652,378,80
1000,0.0029926300048828125,348,274,80
1000,0.001995086669921875,348,274,194
1000,0.00299072265625,348,274,252
1000,0.001995086669921875,348,274,194
1000,0.0029914379119873047,726,378,80
1000,0.002991914749145508,348,274,252
1000,0.001994609832763672,348,274,80
1000,0.0019941329956054688,348,274,194
1000,0.00399017333984375,726,378,80
1000,0.0019931793212890625,652,274,80
1000,0.0049855709075927734,348,274,273
1000,0.004987001419067383,348,274,80
1000,0.001993417739868164,978,630,378
1000,0.0019941329956054688,652,274,194
1000,0.0029914379119873047,348,274,80
1000,0.0019943714141845703,652,274,80
1000,0.0019958019256591797,348,274,194
1000,0.004987239837646484,726,378,80
1000,0.001993894577026367,348,274,80
1000,0.007978439331054688,726,378,80
1000,0.0019948482513427734,348,274,80
1000,0.001993417739868164,652,274,80
1000,0.002992391586303711,920,572,378
1000,0.001993894577026367,726,378,80
1000,0.0019941329956054688,726,348,80
1000,0.003989458084106445,348,274,80
1000,0.0019941329956054688,348,274,80
1000,0.001993894577026367,348,274,80
1000,0.0019943714141845703,652,274,194
1000,0.001993894577026367,920,348,194
1000,0.001995563507080078,726,378,80
1000,0.0019936561584472656,652,274,80
1000,0.0019943714141845703,652,274,80
1000,0.003989458084106445,348,274,194
1000,0.0019943714141845703,726,348,80
1000,0.001971006393432617,920,348,194
1000,0.001993894577026367,348,274,80
1000,0.001995086669921875,726,348,80
1000,0.001993417739868164,348,274,194
1000,0.0009980201721191406,652,274,80
1000,0.0019943714141845703,348,274,80
1000,0.003989458084106445,726,348,80
1000,0.001993894577026367,348,274,194
1000,0.0019936561584472656,652,274,80
1000,0.0029926300048828125,726,378,80
1000,0.0019943714141845703,652,572,194
