plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
5000,1.223703384399414,4765,3855,738
5000,1.2157514095306396,4673,4632,3951
5000,1.6625571250915527,4905,2444,686
5000,1.2067759037017822,2250,1511,250
5000,1.266615867614746,3648,3523,1346
5000,1.4660825729370117,4976,3698,3414
5000,1.5049786567687988,452,362,97
5000,1.0781197547912598,2640,1206,421
5000,1.1658852100372314,4537,4217,3931
5000,1.2895543575286865,4289,467,42
5000,1.370337963104248,3878,3863,2224
5000,1.1419479846954346,2045,111,67
5000,1.1030521392822266,2116,1657,1642
5000,1.2486639022827148,3566,1051,408
5000,1.5857634544372559,1269,1093,62
5000,1.1948072910308838,2400,1262,261
5000,1.2626264095306396,944,664,54
5000,1.3643543720245361,551,488,362
5000,1.3065083026885986,1638,1597,227
5000,1.2137575149536133,444,84,58
5000,1.2686104774475098,3127,722,547
5000,1.212759256362915,4661,2702,1047
5000,1.4162168502807617,2317,149,36
5000,1.207772970199585,1101,410,289
5000,1.1718695163726807,1173,848,100
5000,1.300525188446045,326,206,203
5000,1.2945401668548584,42,32,8
5000,1.32545804977417,2175,1460,626
5000,1.258636236190796,4078,2463,95
5000,1.2137572765350342,1218,1034,632
5000,1.4132256507873535,89,32,13
5000,1.1459388732910156,2105,1334,1290
5000,1.3035171031951904,4950,3589,236
5000,1.164888620376587,4428,2110,388
5000,1.2426791191101074,2204,755,599
5000,1.3254570960998535,3589,512,276
5000,1.0601677894592285,3098,465,142
5000,1.1698739528656006,1059,919,909
5000,1.157905101776123,273,140,106
5000,1.2436766624450684,2712,707,279
5000,1.1838369369506836,675,559,283
5000,1.277585744857788,3874,3151,1048
5000,1.2307102680206299,4383,3552,1235
5000,1.4730639457702637,1081,177,161
5000,1.1768548488616943,630,136,47
5000,1.3134901523590088,880,340,194
5000,1.2686097621917725,3823,574,93
5000,1.3224668502807617,1696,1094,592
5000,1.1788508892059326,168,46,41
5000,1.2157526016235352,1753,507,446
5000,1.299527645111084,3106,1189,465
5000,1.5259239673614502,3370,100,67
5000,1.2267229557037354,3347,789,630
5000,1.200791835784912,683,302,255
5000,1.139953851699829,4657,62,32
5000,1.4930102825164795,1152,561,452
5000,1.159900426864624,328,304,179
5000,1.397266149520874,3292,2390,766
5000,1.3603665828704834,2687,1207,1152
5000,1.398263692855835,3868,925,330
5000,1.2027857303619385,512,227,147
5000,1.2247276306152344,404,13,8
5000,1.2785840034484863,1671,886,467
5000,1.3224670886993408,2305,910,540
5000,1.2027873992919922,1819,572,428
5000,1.3095026016235352,1218,979,42
5000,1.1748607158660889,1899,1266,516
5000,1.383302927017212,1689,234,106
5000,0.7569773197174072,3460,3234,1503
5000,0.7210745811462402,872,810,54
5000,0.9065775871276855,2040,488,40
5000,0.8148229122161865,2008,725,272
5000,0.5196115970611572,1030,329,314
5000,0.4478034973144531,3897,1903,423
5000,0.5465390682220459,3584,1708,1241
5000,0.4837074279785156,2632,416,355
5000,0.46475887298583984,4195,2938,2189
5000,0.48669958114624023,2051,1182,410
5000,0.493680477142334,2950,689,396
5000,0.5515258312225342,3116,1018,830
5000,0.4607694149017334,987,378,262
5000,0.5176169872283936,3205,151,30
5000,0.4527900218963623,4737,355,140
5000,0.5036537647247314,1215,1001,995
5000,0.476726770401001,3090,3011,187
5000,0.4886932373046875,3591,272,163
5000,0.4557819366455078,2244,2147,1986
5000,1.0285077095031738,731,474,192
5000,0.5834403038024902,4012,615,485
5000,1.3069937229156494,1132,662,423
5000,0.7330408096313477,3611,1747,1285
5000,0.6502625942230225,4403,2000,1587
5000,0.5166192054748535,1042,618,534
5000,0.468747615814209,2169,2153,1502
5000,0.5365662574768066,4472,3396,2952
5000,0.7983813285827637,961,680,42
5000,0.5495312213897705,3494,3271,222
5000,0.46774983406066895,2962,1138,800
5000,0.8430190086364746,3279,1161,253
5000,0.6432802677154541,4093,3129,2123
5000,0.4654386043548584,1730,334,93
5000,2.4089107513427734,4518,777,503
5000,0.5814454555511475,4297,1135,96
5000,1.2685751914978027,3751,404,291
5000,0.4637610912322998,2921,1077,644
5000,0.5236008167266846,415,298,296
5000,0.548534631729126,4812,701,664
5000,0.85272216796875,1886,47,27
5000,0.638293981552124,4320,13,8
5000,0.5704762935638428,1402,373,347
5000,1.1639714241027832,1991,1680,830
5000,0.5445435047149658,956,738,270
5000,0.5305821895599365,1737,367,320
5000,0.8587045669555664,1838,1016,51
5000,0.5216062068939209,4463,824,154
5000,0.5216052532196045,2558,1063,1008
5000,0.4886951446533203,2264,956,458
5000,0.49767065048217773,867,23,18
5000,0.45378756523132324,145,118,104
5000,0.5325770378112793,1901,86,5
5000,2.825869083404541,2288,651,544
5000,0.5026564598083496,2371,1783,588
5000,0.4587748050689697,2365,1629,1154
5000,0.4857025146484375,4691,3839,1831
5000,0.46176600456237793,2490,1235,200
5000,0.4617650508880615,3900,1668,764
5000,0.4479365348815918,3571,722,167
5000,0.5016148090362549,4995,2737,2082
5000,0.4637610912322998,3601,1107,775
5000,0.4827103614807129,2683,2537,1930
5000,0.47872090339660645,1442,62,60
5000,0.5355677604675293,2653,1666,418
5000,0.5415523052215576,1355,359,236
5000,0.5993983745574951,3241,26,26
5000,0.723067045211792,3296,2722,1302
5000,0.514625072479248,1687,1649,41
5000,0.7160866260528564,54,47,20
5000,1.6009490489959717,2387,1431,569
5000,0.5814461708068848,4739,1049,21
5000,0.5425503253936768,1708,762,563
5000,0.5694773197174072,3473,353,42
5000,0.49268364906311035,3380,2734,385
5000,0.5445451736450195,4459,1338,749
5000,0.46475791931152344,1566,462,372
5000,0.4946787357330322,306,181,54
5000,0.43982362747192383,4381,149,130
5000,3.1096341609954834,844,233,140
5000,0.44880032539367676,4025,2854,168
5000,0.49268341064453125,3288,3011,2604
5000,0.4557816982269287,262,117,59
5000,0.47572922706604004,1022,67,59
5000,0.5126304626464844,1776,559,192
5000,0.4857025146484375,3326,1302,859
5000,0.46775007247924805,1334,1289,97
5000,1.457453727722168,1207,1143,70
5000,0.48171329498291016,2071,1276,302
5000,0.4697439670562744,1008,653,482
5000,0.4807150363922119,4694,1392,591
5000,3.376047372817993,1805,1154,457
5000,0.5285875797271729,2102,1693,1041
5000,2.335564136505127,2927,982,947
5000,0.5844385623931885,790,159,79
5000,0.4557826519012451,3719,3357,604
5000,0.5186140537261963,2774,1213,107
5000,0.46475815773010254,4068,3839,766
5000,0.4727363586425781,3117,247,142
5000,0.4797184467315674,2710,2139,1262
5000,0.46176600456237793,4679,1201,500
5000,0.4777238368988037,2380,1245,336
5000,0.4667532444000244,1215,669,389
5000,0.47373485565185547,2566,2483,1164
5000,0.4557821750640869,378,251,244
5000,0.49068713188171387,4050,1617,1588
5000,0.5056490898132324,3142,279,194
5000,0.5764596462249756,4947,4305,3354
5000,0.47872138023376465,4666,4389,3022
5000,1.7763655185699463,1135,965,416
5000,0.5006625652313232,2606,2474,2077
5000,0.5166196823120117,90,13,8
5000,0.5515270233154297,2057,1578,1354
5000,0.4966721534729004,3619,196,124
5000,0.5345718860626221,440,20,5
5000,0.5096380710601807,4600,2330,1698
5000,0.5226032733917236,2810,1024,751
5000,0.5196118354797363,3248,1218,215
5000,0.514625072479248,2509,1491,27
5000,1.1035783290863037,1509,1018,27
5000,0.5096385478973389,3622,1281,717
5000,2.416451930999756,274,240,235
5000,0.7450094223022461,1108,129,118
5000,0.48171329498291016,217,140,67
5000,0.5026562213897705,4839,4359,2767
5000,0.4577758312225342,230,27,5
5000,0.5006613731384277,277,270,54
5000,0.4468057155609131,38,10,8
5000,0.4936809539794922,4730,2491,1811
5000,0.43535852432250977,2495,478,40
5000,1.2270452976226807,373,238,11
5000,0.4468059539794922,4498,3432,3344
5000,0.4747314453125,4808,2316,1436
5000,0.5096385478973389,795,651,615
5000,0.5485343933105469,4574,1373,1141
5000,0.5385613441467285,2112,1809,1036
5000,0.4976694583892822,3094,693,551
5000,0.4906892776489258,3331,982,187
5000,0.4876976013183594,1559,1241,806
5000,0.5096385478973389,1016,221,107
5000,0.4667537212371826,2169,974,762
5000,0.5216047763824463,140,5,132
5000,0.5006625652313232,780,540,60
5000,0.46775007247924805,1619,1612,207
5000,0.4747312068939209,4450,2303,2298
5000,0.4797182083129883,3233,2607,12
5000,0.48669934272766113,2018,1391,97
5000,0.4727365970611572,136,62,53
5000,0.5106348991394043,2972,2643,206
5000,0.4807169437408447,2957,1373,947
5000,0.47572851181030273,1680,540,377
5000,0.47572851181030273,179,74,67
5000,0.5295848846435547,3884,526,298
5000,0.4557812213897705,2258,2071,444
5000,0.503655195236206,4027,1099,1091
5000,0.4797179698944092,1848,1479,29
5000,0.48969101905822754,3871,338,130
5000,0.47074174880981445,505,396,97
5000,0.46276283264160156,2283,1313,1232
5000,0.4946787357330322,2375,2144,1149
5000,2.200087547302246,1096,349,203
5000,0.5026571750640869,1538,432,246
5000,0.4497978687286377,2381,601,286
5000,0.4797179698944092,1272,1049,353
5000,0.4827103614807129,1597,1444,163
5000,0.4527902603149414,4596,230,119
5000,0.4996650218963623,2256,710,177
5000,0.4587857723236084,230,113,103
5000,0.4906883239746094,1440,367,270
5000,0.47074198722839355,1877,436,363
5000,0.47572922706604004,2668,256,256
5000,0.46475839614868164,1745,250,67
5000,0.4697437286376953,2516,232,142
5000,0.4667534828186035,601,187,41
5000,0.47273707389831543,3034,886,240
5000,0.4399223327636719,2707,2219,1176
5000,1.1212706565856934,2250,1650,190
5000,0.47074151039123535,4875,2570,2294
5000,0.47373461723327637,4919,3061,1554
5000,0.4747314453125,277,240,159
5000,0.4747307300567627,4828,3195,1546
5000,0.9018688201904297,597,399,8
5000,0.48968982696533203,1059,346,314
5000,0.46775102615356445,388,295,224
5000,0.4906883239746094,1821,321,90
5000,0.4448111057281494,3510,942,283
5000,0.549532413482666,2118,1177,906
5000,0.469745397567749,1467,482,42
5000,0.4966728687286377,1845,862,336
5000,0.47074127197265625,1090,359,329
5000,0.5854372978210449,4799,2005,1344
5000,1.2836432456970215,4679,2729,373
5000,0.9434783458709717,104,57,27
5000,1.5106244087219238,4823,2797,2159
5000,0.4637606143951416,223,21,16
5000,0.49268341064453125,1779,1578,900
5000,0.46176576614379883,1300,996,884
5000,0.5046520233154297,822,549,92
5000,0.5016605854034424,2590,1847,1008
5000,0.5196115970611572,4542,4231,3410
5000,0.5285873413085938,1787,389,342
5000,1.3044822216033936,3704,482,27
5000,0.6522564888000488,315,151,151
5000,0.5236005783081055,2984,2061,455
5000,0.5255961418151855,1320,992,498
5000,1.285735845565796,1334,1144,277
5000,0.5305819511413574,4658,1376,896
5000,0.5036535263061523,4705,2683,2128
5000,0.48470473289489746,3841,1854,355
5000,0.5275907516479492,245,107,99
