plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
5000,0.21642065048217773,2487,1215,621
5000,0.20844101905822754,2500,1250,624
5000,0.22340011596679688,2500,1250,624
5000,0.2193903923034668,2500,1250,624
5000,0.2044692039489746,2500,1250,624
5000,0.21343088150024414,2500,1250,624
5000,0.2054746150970459,2500,1250,624
5000,0.20745110511779785,2500,1250,624
5000,0.20737767219543457,2500,1250,624
5000,0.21343255043029785,2500,1250,624
5000,0.20844221115112305,2500,1250,624
5000,0.20448040962219238,2500,1250,624
5000,0.20644593238830566,2500,1250,624
5000,0.2084665298461914,2500,1250,624
5000,0.20641708374023438,2500,1250,624
5000,0.20443105697631836,2500,1250,624
5000,0.20642590522766113,2500,1250,624
5000,0.2154223918914795,2500,1250,624
5000,0.20642685890197754,2500,1250,624
5000,0.20541787147521973,2500,1250,624
5000,0.22738957405090332,2500,1250,624
5000,0.2064366340637207,2500,1250,624
5000,0.2064189910888672,2500,1250,624
5000,0.20744776725769043,2500,1250,624
5000,0.20847177505493164,2500,1250,624
5000,0.2044515609741211,2500,1250,624
5000,0.20644617080688477,2500,1250,624
5000,0.20644927024841309,2500,1250,624
5000,0.20441794395446777,2500,1250,624
5000,0.210435152053833,2500,1250,624
5000,0.20443081855773926,2500,1250,624
5000,0.20944547653198242,2500,1250,624
5000,0.20443201065063477,2500,1250,624
5000,0.20447945594787598,2500,1250,624
5000,0.2054576873779297,2500,1250,624
5000,0.20445990562438965,2500,1250,624
5000,0.2074439525604248,2500,1250,624
5000,0.20446300506591797,2500,1250,624
5000,0.20544934272766113,2500,1250,624
5000,0.20348238945007324,2500,1250,624
5000,0.20345354080200195,2500,1250,624
5000,0.20542120933532715,2500,1250,624
5000,0.20644450187683105,2500,1250,624
5000,0.20746874809265137,2500,1250,624
5000,0.20642709732055664,2500,1250,624
5000,0.2732703685760498,2500,1250,624
5000,0.20644617080688477,2500,1250,624
5000,0.2044837474822998,2500,1250,624
5000,0.2064342498779297,2500,1250,624
5000,0.20547151565551758,2500,1250,624
5000,0.204451322555542,2500,1250,624
5000,0.20647192001342773,2500,1250,624
5000,0.20542168617248535,2500,1250,624
5000,0.20447874069213867,2500,1250,624
5000,0.20545148849487305,2500,1250,624
5000,0.2612786293029785,2500,1250,624
5000,0.24434542655944824,2500,1250,624
5000,0.2253894805908203,2500,1250,624
5000,0.22140741348266602,2500,1250,624
5000,0.21644020080566406,2500,1250,624
5000,0.22738862037658691,2500,1250,624
5000,0.2124190330505371,2500,1250,624
5000,0.21844196319580078,2500,1250,624
5000,0.20442533493041992,2500,1250,624
5000,0.21439790725708008,2500,1250,624
5000,0.21343350410461426,2500,1250,624
5000,0.22340106964111328,2500,1250,624
5000,0.2184157371520996,2500,1250,624
5000,0.21043634414672852,2500,1250,624
5000,0.3011927604675293,2500,1250,624
5000,0.22439861297607422,2500,1250,624
5000,0.21839356422424316,2500,1250,624
5000,0.25830817222595215,2500,1250,624
5000,0.21143674850463867,2500,1250,624
5000,0.2064528465270996,2500,1250,624
5000,0.2303633689880371,2500,1250,624
5000,0.21043729782104492,2500,1250,624
5000,0.21240472793579102,2500,1250,624
5000,0.21143817901611328,2500,1250,624
5000,0.21840977668762207,2500,1250,624
5000,0.20946860313415527,2500,1250,624
5000,0.2214360237121582,2500,1250,624
5000,0.20747065544128418,2500,1250,624
5000,0.20944643020629883,2500,1250,624
5000,0.21243023872375488,2500,1250,624
5000,0.21639275550842285,2500,1250,624
5000,0.21141409873962402,2500,1250,624
5000,0.20746397972106934,2500,1250,624
5000,0.21342062950134277,2500,1250,624
5000,0.2074415683746338,2500,1250,624
5000,0.20546555519104004,2500,1250,624
5000,0.23739051818847656,2500,1250,624
5000,0.21740984916687012,2500,1250,624
5000,0.2273702621459961,2500,1250,624
5000,0.21843695640563965,2500,1250,624
5000,0.21143341064453125,2500,1250,624
5000,0.2134075164794922,2500,1250,624
5000,0.23038887977600098,2500,1250,624
5000,0.23833417892456055,2500,1250,624
5000,0.21944236755371094,2500,1250,624
