plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
1000,0.4105997085571289,951,128,81
1000,0.35370874404907227,714,80,37
1000,0.3540000915527344,999,364,60
1000,0.4830491542816162,838,452,246
1000,0.2812471389770508,377,206,70
1000,0.2902231216430664,594,193,177
1000,0.2962067127227783,996,119,96
1000,0.4866974353790283,487,73,30
1000,0.2962067127227783,226,90,59
1000,0.4582796096801758,835,636,297
1000,0.2947051525115967,147,39,8
1000,0.30811119079589844,311,222,61
1000,0.3801236152648926,485,18,3
1000,0.3031911849975586,959,590,60
1000,0.2936687469482422,481,417,417
1000,0.3776869773864746,622,98,82
1000,0.36003613471984863,484,205,108
1000,0.3311126232147217,268,27,10
1000,0.3650233745574951,674,65,46
1000,0.2902235984802246,485,365,212
1000,0.2932138442993164,451,164,39
1000,0.3540518283843994,541,126,112
1000,0.28922510147094727,413,10,7
1000,0.29421329498291016,456,235,219
1000,0.2952086925506592,531,76,61
1000,0.35205554962158203,896,524,488
1000,0.3001980781555176,688,327,271
1000,0.2932147979736328,276,194,188
1000,0.29620790481567383,832,587,157
1000,0.3560466766357422,691,210,138
1000,0.2902224063873291,500,290,158
1000,0.28623223304748535,93,11,7
1000,0.3510596752166748,284,160,69
1000,0.2865431308746338,497,263,80
1000,0.2919924259185791,244,128,7
1000,0.34725046157836914,483,176,99
1000,0.287031888961792,249,72,66
1000,0.28796982765197754,219,211,84
1000,0.35302257537841797,223,9,7
1000,0.3692150115966797,870,463,179
1000,0.2952089309692383,469,153,41
1000,0.2932147979736328,164,150,29
1000,0.3919506072998047,875,355,82
1000,0.2872314453125,361,190,32
1000,0.2812464237213135,382,299,143
1000,0.2872300148010254,831,371,199
1000,0.3590388298034668,597,356,73
1000,0.2902228832244873,450,425,351
1000,0.2932138442993164,159,44,5
1000,0.28922581672668457,632,206,85
1000,0.2852365970611572,517,434,377
1000,0.2842390537261963,422,165,101
1000,0.30518269538879395,642,211,147
