plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3,Kurtosis First Subarray,Kurtosis Second Subarray,Kurtosis Third Subarray,Skewness First Subarray,Skewness Second Subarray,Skewness Third Subarray
25000,7.55000901222229,12833,726,447,-1.200000014573198,-1.2000045534316746,-1.20001201153107,0.0,0.0,0.0
25000,8.737226724624634,1834,501,108,-1.2000007135307733,-1.2000095617529882,-1.2002057789591012,0.0,0.0,0.0
25000,5.744908094406128,13487,8586,4304,-1.2000000131941233,-1.2000000325558833,-1.2000002801340162,0.0,0.0,0.0
25000,8.236955642700195,19031,10100,3305,-1.2000000066265586,-1.2000000673609337,nan,0.0,0.0,nan
25000,6.662168979644775,19664,14249,13610,-1.2000000062067966,-1.2000000842906913,nan,0.0,0.0,nan
25000,6.469684362411499,14964,12227,7620,-1.200000010718052,-1.2000000238281292,nan,0.0,0.0,nan
25000,6.579391002655029,17107,14448,12364,-1.2000000082009383,-1.200000038523616,nan,0.0,0.0,nan
25000,6.372943878173828,7116,5571,752,-1.2000000473957473,-1.200000077329453,-1.2000042440093155,0.0,0.0,0.0
25000,6.540495872497559,5555,4762,4545,-1.2000000777755568,-1.2000001058357712,-1.2000001161832412,0.0,0.0,0.0
25000,6.389899015426636,18286,15948,11910,-1.2000000071775103,-1.200000053241291,nan,0.0,0.0,nan
25000,6.452731609344482,2900,1866,1689,-1.2000002853745881,-1.2000006892679547,-1.200000841302336,0.0,0.0,0.0
25000,6.319088459014893,20628,5249,242,-1.2000000056402318,-1.200000125559899,nan,0.0,0.0,nan
25000,6.523540258407593,13936,11884,7825,-1.2000000123576238,-1.2000000196059057,nan,0.0,0.0,nan
25000,7.024202823638916,17955,12942,9164,-1.2000000074445842,-1.2000000483558757,nan,0.0,0.0,nan
25000,6.4447526931762695,5303,3103,1058,-1.2000000853430193,-1.2000002492572135,-1.2000021440765865,0.0,0.0,0.0
25000,6.704058408737183,24381,563,133,-1.2000000040374597,-1.2000075717422578,-1.2007655502392345,0.0,0.0,0.0
25000,6.589365005493164,929,431,86,-1.2000027808676308,-1.2000129198966407,-1.2003245436105476,0.0,0.0,0.0
25000,7.899856328964233,8037,7718,33,-1.2000000371555173,-1.2000000402904116,-1.2022058823529413,0.0,0.0,0.0
25000,7.629581451416016,6788,2807,492,-1.200000052086789,-1.2000003045975962,-1.2000099147742531,0.0,0.0,0.0
25000,7.54081916809082,22289,10285,3344,-1.2000000048309227,-1.2000003265519381,nan,0.0,0.0,nan
25000,7.161831378936768,11438,4087,2197,-1.2000000183447188,-1.2000001436818768,-1.2000004972230094,0.0,0.0,0.0
25000,7.377255201339722,16739,10804,5742,-1.2000000085654905,-1.200000035167865,nan,0.0,0.0,nan
25000,7.186765432357788,13945,8850,2725,-1.200000012341678,-1.200000030642536,-1.2000004936215865,0.0,0.0,0.0
25000,7.356311559677124,3732,2309,938,-1.2000001723169518,-1.2000004501564294,-1.2000027277593843,0.0,0.0,0.0
25000,9.62125039100647,16990,2058,901,-1.200000008314277,-1.200000566657451,-1.2000029563932002,0.0,0.0,0.0
25000,8.714083433151245,3006,1304,1092,-1.2000002656032205,-1.2000014114201534,-1.2000020126410629,0.0,0.0,0.0
25000,6.621663331985474,16521,10131,2164,-1.2000000087930311,-1.2000000333827399,nan,0.0,0.0,nan
25000,6.615509271621704,3866,2928,493,-1.2000001605785648,-1.2000002799427003,-1.200009874592673,0.0,0.0,0.0
25000,5.981117010116577,21573,6338,2256,-1.2000000051569173,-1.2000002043539655,nan,0.0,0.0,nan
25000,6.028128385543823,2543,720,465,-1.2000003711236138,-1.20000462963856,-1.2000110996004145,0.0,0.0,0.0
25000,5.856327056884766,15435,926,745,-1.2000000100739083,-1.2000027989154203,-1.2000043241373346,0.0,0.0,0.0
25000,5.734652996063232,16451,13404,6058,-1.2000000088680198,-1.200000032838296,nan,0.0,0.0,nan
25000,6.138571262359619,21698,16362,4824,-1.2000000050976714,-1.2000002201188036,nan,0.0,0.0,nan
25000,6.2343151569366455,6720,2964,2509,-1.20000005314626,-1.200000273183769,-1.2000003812501192,0.0,0.0,0.0
25000,6.573408842086792,3080,739,134,-1.200000252993786,-1.200004394638541,-1.2001336675020886,0.0,0.0,0.0
25000,5.7775373458862305,14566,9967,828,-1.2000000113117717,-1.2000000241591877,-1.2000110047320347,0.0,0.0,0.0
25000,5.5212242603302,17236,15034,939,-1.2000000080786406,-1.2000000398144026,nan,0.0,0.0,nan
25000,5.4075281620025635,18938,17813,14270,-1.200000006691801,-1.2000000653099558,nan,0.0,0.0,nan
25000,5.569095134735107,16781,11423,7997,-1.200000008522668,-1.2000000355282068,nan,0.0,0.0,nan
25000,5.5561301708221436,18229,203,181,-1.200000007222467,-1.2000582411182295,-1.20007326007326,0.0,0.0,0.0
25000,5.5371809005737305,5278,4174,3782,-1.2000000861534128,-1.2000001377546847,-1.2000001677908303,0.0,0.0,0.0
25000,7.320408344268799,20740,20618,19973,-1.2000000055794804,-1.2000001322489,nan,0.0,0.0,nan
25000,6.3589818477630615,9662,2386,1477,-1.2000000257085262,-1.2000004215707198,-1.2000011001463196,0.0,0.0,0.0
25000,5.7326576709747314,16627,13556,6290,-1.2000000086812739,-1.200000034233324,nan,0.0,0.0,nan
25000,5.854332447052002,22532,1635,630,-1.2000000047272847,-1.2000008977923287,-1.2000060468784246,0.0,0.0,0.0
25000,5.92913293838501,24572,19595,2286,-1.2000000039749366,-1.200013101652446,nan,0.0,0.0,nan
25000,6.14255952835083,1649,546,390,-1.200000882612533,-1.200008050584506,-1.2000157791964443,0.0,0.0,0.0
25000,8.088352918624878,19354,10627,2296,-1.2000000064072223,-1.2000000752886493,nan,0.0,0.0,nan
25000,7.134903907775879,5559,3452,2783,-1.2000000776636692,-1.2000002014047477,-1.2000003098738194,0.0,0.0,0.0
25000,6.265232086181641,15918,11268,8646,-1.200000009471838,-1.2000000290970028,nan,0.0,0.0,nan
25000,5.986976623535156,6949,2173,2008,-1.2000000497011714,-1.200000508266962,-1.2000005952287949,0.0,0.0,0.0
25000,6.636239290237427,9913,6187,752,-1.2000000244231142,-1.2000000626976155,-1.2000042440093155,0.0,0.0,0.0
25000,5.624946117401123,9430,2264,1149,-1.2000000269890665,-1.2000004682291865,-1.2000018179063778,0.0,0.0,0.0
25000,5.722684383392334,16982,1843,1477,-1.2000000083221125,-1.2000007065789566,-1.2000011001463196,0.0,0.0,0.0
25000,5.640904188156128,24492,17872,14699,-1.2000000040009464,-1.200009300054638,nan,0.0,0.0,nan
25000,5.6857826709747314,2139,915,431,-1.2000005245534742,-1.2000028666163416,-1.2000129198966407,0.0,0.0,0.0
25000,5.643895149230957,22357,12408,5502,-1.2000000048015804,-1.2000003435713786,nan,0.0,0.0,nan
