plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
5000,0.049866676330566406,2498,1249,623
5000,0.04288458824157715,2498,1249,623
5000,0.04288458824157715,2498,1249,623
5000,0.04188799858093262,2498,1249,623
5000,0.04089045524597168,2498,1249,623
5000,0.04089021682739258,2498,1249,623
5000,0.03991532325744629,2498,1249,623
5000,0.04089164733886719,2498,1249,623
5000,0.04190683364868164,2498,1249,623
5000,0.04091024398803711,2498,1249,623
5000,0.039891958236694336,2498,1249,623
5000,0.04088878631591797,2498,1249,623
5000,0.04288506507873535,2498,1249,623
5000,0.04089021682739258,2498,1249,623
5000,0.04288816452026367,2498,1249,623
5000,0.0414576530456543,2498,1249,623
5000,0.04089641571044922,2498,1249,623
5000,0.04108619689941406,2498,1249,623
5000,0.040915489196777344,2498,1249,623
5000,0.04190945625305176,2498,1249,623
5000,0.04191470146179199,2498,1249,623
5000,0.04186081886291504,2498,1249,623
5000,0.04088997840881348,2498,1249,623
5000,0.040889739990234375,2498,1249,623
5000,0.04188680648803711,2498,1249,623
5000,0.04089045524597168,2498,1249,623
5000,0.04190945625305176,2498,1249,623
5000,0.03989839553833008,2498,1249,623
5000,0.041886091232299805,2498,1249,623
5000,0.04291129112243652,2498,1249,623
5000,0.040909528732299805,2498,1249,623
5000,0.039916038513183594,2498,1249,623
5000,0.04091215133666992,2498,1249,623
5000,0.04088997840881348,2498,1249,623
5000,0.04091763496398926,2498,1249,623
5000,0.04188823699951172,2498,1249,623
5000,0.03991961479187012,2498,1249,623
5000,0.04091978073120117,2498,1249,623
5000,0.04091691970825195,2498,1249,623
5000,0.04188656806945801,2498,1249,623
5000,0.041910409927368164,2498,1249,623
5000,0.040915727615356445,2498,1249,623
5000,0.04188704490661621,2498,1249,623
5000,0.04191184043884277,2498,1249,623
5000,0.040889739990234375,2498,1249,623
5000,0.04188704490661621,2498,1249,623
5000,0.04091000556945801,2498,1249,623
5000,0.04089045524597168,2498,1249,623
5000,0.03987240791320801,2498,1249,623
5000,0.0388951301574707,2498,1249,623
5000,0.04191422462463379,2498,1249,623
5000,0.04291176795959473,2498,1249,623
5000,0.04091668128967285,2498,1249,623
5000,0.03989601135253906,2498,1249,623
5000,0.04088997840881348,2498,1249,623
5000,0.0399165153503418,2498,1249,623
5000,0.039891958236694336,2498,1249,623
5000,0.04188799858093262,2498,1249,623
5000,0.041075944900512695,2498,1249,623
5000,0.041388750076293945,2498,1249,623
5000,0.040912628173828125,2498,1249,623
5000,0.04088854789733887,2498,1249,623
5000,0.047872066497802734,2498,1249,623
5000,0.06781864166259766,2498,1249,623
5000,0.04188847541809082,2498,1249,623
5000,0.040911197662353516,2498,1249,623
5000,0.041913747787475586,2498,1249,623
5000,0.06881570816040039,2498,1249,623
5000,0.04089045524597168,2498,1249,623
5000,0.04088997840881348,2498,1249,623
5000,0.0409092903137207,2498,1249,623
5000,0.04091978073120117,2498,1249,623
5000,0.045877933502197266,2498,1249,623
5000,0.041886329650878906,2498,1249,623
5000,0.04091477394104004,2498,1249,623
5000,0.040869951248168945,2498,1249,623
5000,0.040901899337768555,2498,1249,623
5000,0.04092073440551758,2498,1249,623
5000,0.041866302490234375,2498,1249,623
5000,0.04091286659240723,2498,1249,623
5000,0.040904998779296875,2498,1249,623
5000,0.04188704490661621,2498,1249,623
5000,0.041908979415893555,2498,1249,623
5000,0.04591250419616699,2498,1249,623
5000,0.040868282318115234,2498,1249,623
5000,0.04088854789733887,2498,1249,623
5000,0.03991389274597168,2498,1249,623
5000,0.04091787338256836,2498,1249,623
5000,0.04188799858093262,2498,1249,623
5000,0.04188108444213867,2498,1249,623
5000,0.04086804389953613,2498,1249,623
5000,0.03992009162902832,2498,1249,623
5000,0.04305434226989746,2498,1249,623
5000,0.041912078857421875,2498,1249,623
5000,0.04091000556945801,2498,1249,623
5000,0.040911197662353516,2498,1249,623
5000,0.04188728332519531,2498,1249,623
5000,0.041913747787475586,2498,1249,623
5000,0.04091787338256836,2498,1249,623
5000,0.04088902473449707,2498,1249,623
5000,0.040909767150878906,2498,1249,623
5000,0.04288434982299805,2498,1249,623
5000,0.041887521743774414,2498,1249,623
5000,0.04088926315307617,2498,1249,623
5000,0.0419008731842041,2498,1249,623
5000,0.04268002510070801,2498,1249,623
5000,0.041887521743774414,2498,1249,623
5000,0.042896270751953125,2498,1249,623
5000,0.041907310485839844,2498,1249,623
5000,0.04188847541809082,2498,1249,623
5000,0.03989219665527344,2498,1249,623
5000,0.04190874099731445,2498,1249,623
5000,0.04190683364868164,2498,1249,623
5000,0.03989243507385254,2498,1249,623
5000,0.0399167537689209,2498,1249,623
5000,0.03991985321044922,2498,1249,623
5000,0.04091763496398926,2498,1249,623
5000,0.04207873344421387,2498,1249,623
5000,0.04186749458312988,2498,1249,623
5000,0.040909767150878906,2498,1249,623
5000,0.04186701774597168,2498,1249,623
5000,0.041915178298950195,2498,1249,623
5000,0.04089975357055664,2498,1249,623
5000,0.04091310501098633,2498,1249,623
5000,0.04190707206726074,2498,1249,623
5000,0.042885541915893555,2498,1249,623
5000,0.03989243507385254,2498,1249,623
5000,0.04188680648803711,2498,1249,623
5000,0.041907548904418945,2498,1249,623
5000,0.04188728332519531,2498,1249,623
5000,0.040882110595703125,2498,1249,623
5000,0.04191422462463379,2498,1249,623
5000,0.041887521743774414,2498,1249,623
5000,0.040901899337768555,2498,1249,623
5000,0.04188895225524902,2498,1249,623
5000,0.040665626525878906,2498,1249,623
5000,0.04184579849243164,2498,1249,623
5000,0.04191398620605469,2498,1249,623
5000,0.04389476776123047,2498,1249,623
5000,0.04091238975524902,2498,1249,623
5000,0.03991556167602539,2498,1249,623
5000,0.04188728332519531,2498,1249,623
5000,0.0419156551361084,2498,1249,623
5000,0.04089021682739258,2498,1249,623
5000,0.03989076614379883,2498,1249,623
5000,0.040900468826293945,2498,1249,623
5000,0.07779097557067871,2498,1249,623
5000,0.041890859603881836,2498,1249,623
5000,0.039891958236694336,2498,1249,623
5000,0.04091048240661621,2498,1249,623
5000,0.04088902473449707,2498,1249,623
5000,0.040909767150878906,2498,1249,623
5000,0.04188656806945801,2498,1249,623
5000,0.04087018966674805,2498,1249,623
5000,0.04091763496398926,2498,1249,623
5000,0.042906999588012695,2498,1249,623
5000,0.04235267639160156,2498,1249,623
5000,0.04085350036621094,2498,1249,623
5000,0.041887521743774414,2498,1249,623
5000,0.043329715728759766,2498,1249,623
5000,0.04190874099731445,2498,1249,623
5000,0.040917396545410156,2498,1249,623
5000,0.04986453056335449,2498,1249,623
5000,0.0608367919921875,2498,1249,623
5000,0.041887760162353516,2498,1249,623
5000,0.041887760162353516,2498,1249,623
5000,0.04088997840881348,2498,1249,623
5000,0.04089093208312988,2498,1249,623
5000,0.039891719818115234,2498,1249,623
5000,0.03989243507385254,2498,1249,623
5000,0.04088950157165527,2498,1249,623
5000,0.03989291191101074,2498,1249,623
5000,0.04288506507873535,2498,1249,623
5000,0.04188871383666992,2498,1249,623
5000,0.04188680648803711,2498,1249,623
5000,0.04221463203430176,2498,1249,623
5000,0.04189562797546387,2498,1249,623
5000,0.04088902473449707,2498,1249,623
5000,0.040868282318115234,2498,1249,623
5000,0.04091453552246094,2498,1249,623
5000,0.040909528732299805,2498,1249,623
5000,0.04188680648803711,2498,1249,623
5000,0.04288458824157715,2498,1249,623
5000,0.041887521743774414,2498,1249,623
5000,0.04188799858093262,2498,1249,623
5000,0.05684304237365723,2498,1249,623
5000,0.055841684341430664,2498,1249,623
5000,0.05186033248901367,2498,1249,623
5000,0.048868656158447266,2498,1249,623
5000,0.04487943649291992,2498,1249,623
5000,0.041887521743774414,2498,1249,623
5000,0.040910959243774414,2498,1249,623
5000,0.04091000556945801,2498,1249,623
5000,0.04091024398803711,2498,1249,623
5000,0.040909528732299805,2498,1249,623
5000,0.04188799858093262,2498,1249,623
5000,0.04388236999511719,2498,1249,623
