plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
5000,1.3566257953643799,973,703,90
5000,1.505021572113037,4428,3786,3160
5000,1.3031682968139648,931,30,13
5000,1.26474928855896,435,342,168
5000,1.4843769073486328,2771,1399,348
5000,1.423849105834961,217,47,44
5000,1.4576504230499268,1718,1002,13
5000,1.4002916812896729,641,415,77
5000,1.9847652912139893,785,232,27
5000,1.404759407043457,3483,1013,837
5000,1.2851176261901855,540,428,151
5000,1.1967618465423584,3390,1245,27
5000,1.367877721786499,2433,706,265
5000,1.1690173149108887,119,70,27
5000,1.2207832336425781,2355,478,270
5000,1.2570397853851318,1528,1313,79
5000,1.3405063152313232,60,29,25
5000,1.2212469577789307,2191,1693,741
5000,1.177241563796997,4905,4218,1681
5000,1.1633641719818115,4243,1886,651
5000,1.4197371006011963,4732,4432,724
5000,1.2612719535827637,2663,1262,666
5000,1.4598290920257568,4068,2893,608
5000,1.6900172233581543,756,159,89
5000,1.5798206329345703,311,134,23
5000,1.446239709854126,2123,635,32
5000,1.4350252151489258,1064,452,442
5000,1.5144987106323242,2941,2609,1633
5000,1.3613626956939697,2457,2317,1695
5000,1.1569311618804932,827,32,10
5000,1.1874418258666992,4284,2719,2446
5000,1.1634678840637207,4969,2575,298
5000,1.1783616542816162,4414,1197,534
5000,1.1191246509552002,3281,1008,985
5000,1.184464454650879,1078,49,44
5000,1.1090571880340576,4065,3226,21
5000,1.2292637825012207,4661,3259,2541
5000,1.1726157665252686,820,349,181
5000,1.1390354633331299,1369,83,74
5000,1.1657741069793701,3038,2560,146
5000,1.2187609672546387,4046,3505,2169
5000,1.246403455734253,1298,462,136
5000,1.2821626663208008,1047,731,54
5000,1.2552525997161865,4037,822,436
5000,1.305532693862915,525,187,177
5000,1.2257461547851562,3773,2648,1066
5000,1.2111256122589111,4416,3431,742
5000,1.2372901439666748,870,502,423
5000,1.3159947395324707,3464,1249,272
5000,1.4277315139770508,1800,200,44
5000,1.3437635898590088,2204,314,200
5000,1.167994737625122,607,247,5
5000,1.2549858093261719,3832,1849,171
5000,1.2437944412231445,2059,1143,158
5000,1.2406818866729736,2652,522,301
5000,1.1621510982513428,3997,2293,896
5000,1.3402800559997559,476,446,114
5000,1.4113335609436035,2253,366,279
5000,1.321124792098999,4046,982,26
5000,1.154728889465332,2126,939,615
5000,1.1202592849731445,4416,552,130
5000,1.2427411079406738,3997,1745,1528
5000,1.3365795612335205,1423,246,119
5000,2.384162425994873,54,30,27
5000,1.3554859161376953,1883,488,389
5000,1.331441879272461,2652,583,505
5000,1.3444490432739258,1141,804,378
5000,1.6566145420074463,4012,3729,2586
5000,1.9493474960327148,2594,938,85
5000,1.3444514274597168,3085,154,116
5000,1.50801420211792,2181,683,349
5000,1.2945640087127686,2059,1154,398
5000,1.1384682655334473,2236,782,117
5000,1.2236182689666748,2204,1201,222
5000,1.1102988719940186,604,559,215
5000,1.220421552658081,1002,443,279
5000,1.262434959411621,727,97,13
5000,1.1934309005737305,247,196,117
5000,1.1828789710998535,3721,2239,780
5000,1.1405086517333984,4661,911,578
5000,1.216770887374878,4576,3606,3047
5000,1.2555203437805176,3866,1262,1154
5000,1.3751449584960938,4482,1444,124
5000,1.3922810554504395,2810,2454,2187
5000,2.029134511947632,339,136,5
5000,2.197197437286377,2687,1043,1007
5000,2.01716685295105,1306,116,8
5000,1.589416742324829,18,18,12
5000,1.8164236545562744,1245,441,62
5000,3.58404803276062,432,171,17
5000,3.8782432079315186,4654,4046,1750
5000,3.231940507888794,835,811,151
5000,3.464371681213379,4979,3343,1293
5000,2.2739696502685547,585,315,10
5000,1.5074365139007568,3422,1875,563
5000,1.5158319473266602,251,42,21
5000,1.520268201828003,4713,4153,500
5000,1.4848759174346924,4859,1422,1309
5000,1.499131202697754,336,117,114
5000,1.5329921245574951,1233,710,395
5000,1.4904959201812744,2414,119,113
5000,1.4815514087677002,2985,2861,2304
5000,1.5016059875488281,498,253,38
5000,1.7325351238250732,4539,389,336
5000,1.483581781387329,544,136,77
5000,1.4895515441894531,308,8,8
5000,1.4977905750274658,1460,684,79
5000,1.638810157775879,3724,1005,824
5000,1.9442691802978516,2477,352,107
5000,2.1702210903167725,2541,2099,1443
5000,1.7742784023284912,289,256,136
5000,1.5601253509521484,4741,2611,86
5000,1.548374891281128,4628,3736,1604
5000,1.5060794353485107,2128,1966,568
5000,1.5190255641937256,3953,3363,797
5000,1.600515604019165,2275,956,588
5000,1.6934988498687744,3919,3749,2146
5000,1.9281206130981445,54,47,13
5000,1.4979784488677979,1657,1309,1184
5000,1.6122543811798096,1235,750,628
5000,1.4587507247924805,4518,2151,2127
5000,1.5585038661956787,756,415,270
5000,1.424703598022461,3100,601,547
5000,1.5426783561706543,2021,722,236
5000,1.485637903213501,1338,743,274
5000,1.482835054397583,536,375,100
5000,1.5114517211914062,4615,2411,872
5000,1.483036994934082,1276,844,623
5000,1.4877045154571533,1723,618,272
5000,1.651752233505249,789,121,8
5000,2.791857957839966,625,301,62
5000,2.2569947242736816,721,18,13
5000,2.0049846172332764,3073,678,279
5000,1.4651625156402588,1859,1142,796
5000,1.4495797157287598,32,5,5
5000,1.3528962135314941,1821,1456,820
5000,1.5812058448791504,1230,815,623
5000,2.149811267852783,3966,3409,1532
5000,1.5439183712005615,2289,1461,762
5000,1.3524343967437744,1486,1473,311
5000,1.5528905391693115,3676,3370,569
5000,1.6386651992797852,1566,332,298
5000,1.4506769180297852,3602,3268,2187
5000,1.8829913139343262,4119,1723,900
5000,1.9528486728668213,1532,543,410
5000,4.564420700073242,3510,2869,1862
5000,2.6400392055511475,4030,1184,367
5000,2.374694585800171,3679,2161,2005
5000,1.725433588027954,536,8,3
5000,1.8855130672454834,1817,179,32
5000,1.5992791652679443,3622,432,23
5000,1.7628233432769775,2902,2712,1698
5000,1.420248031616211,597,130,97
5000,1.5688517093658447,1126,11,5
5000,1.946869134902954,1218,1218,178
5000,1.6022753715515137,2151,2146,929
